CityName,CityCode,MSOAName,MSOACode,Population,PopulationDensity
Birmingham,J01000007,Birmingham 008,E02001834,6002.0,5621.67039951298
Birmingham,J01000007,Birmingham 011,E02001837,10327.0,6963.486491392728
Birmingham,J01000007,Birmingham 013,E02001839,6380.0,3456.926646701074
Birmingham,J01000007,Birmingham 014,E02001840,9544.0,6164.46602018302
Birmingham,J01000007,Birmingham 016,E02001842,7532.0,5305.765462622722
Birmingham,J01000007,Birmingham 017,E02001843,6625.0,5336.6559800021805
Birmingham,J01000007,Birmingham 019,E02001845,6502.0,5635.276582229863
Birmingham,J01000007,Birmingham 020,E02001846,8192.0,6242.837423076305
Birmingham,J01000007,Birmingham 022,E02001848,7088.0,3517.0628751029008
Birmingham,J01000007,Birmingham 023,E02001849,8376.0,6270.0207057962225
Birmingham,J01000007,Birmingham 024,E02001850,8297.0,3497.7499610356185
Birmingham,J01000007,Birmingham 025,E02001851,8781.0,3973.482675406026
Birmingham,J01000007,Birmingham 026,E02001852,7186.0,6031.128461579843
Birmingham,J01000007,Birmingham 029,E02001855,9648.0,3133.4296258273275
Birmingham,J01000007,Birmingham 030,E02001856,9679.0,5016.281758987032
Birmingham,J01000007,Birmingham 031,E02001857,14162.0,5194.932569895494
Birmingham,J01000007,Birmingham 032,E02001858,9170.0,5616.3054519067755
Birmingham,J01000007,Birmingham 033,E02001859,10558.0,3106.993094664787
Birmingham,J01000007,Birmingham 034,E02001860,9458.0,9569.01168831016
Birmingham,J01000007,Birmingham 035,E02001861,10900.0,9290.176243251448
Birmingham,J01000007,Birmingham 036,E02001862,10833.0,4864.070293631931
Birmingham,J01000007,Birmingham 037,E02001863,8008.0,3529.70604173146
Birmingham,J01000007,Birmingham 039,E02001865,11628.0,9534.219389613721
Birmingham,J01000007,Birmingham 040,E02001866,9091.0,10508.775473189664
Birmingham,J01000007,Birmingham 041,E02001867,7762.0,8450.169801141605
Birmingham,J01000007,Birmingham 042,E02001868,9560.0,5391.9854015931
Birmingham,J01000007,Birmingham 043,E02001869,6851.0,2492.8409527073622
Birmingham,J01000007,Birmingham 044,E02001870,12722.0,7250.004079015929
Birmingham,J01000007,Birmingham 045,E02001871,8238.0,4928.15759572579
Birmingham,J01000007,Birmingham 046,E02001872,7314.0,3752.878001274875
Birmingham,J01000007,Birmingham 047,E02001873,11982.0,6515.611448965682
Birmingham,J01000007,Birmingham 048,E02001874,10030.0,5299.684232403216
Birmingham,J01000007,Birmingham 049,E02001875,9631.0,6694.42375513271
Birmingham,J01000007,Birmingham 050,E02001876,15268.0,4768.700628288902
Birmingham,J01000007,Birmingham 051,E02001877,11690.0,9422.809479364278
Birmingham,J01000007,Birmingham 052,E02001878,9074.0,4131.611829469711
Birmingham,J01000007,Birmingham 053,E02001879,10504.0,6481.40837572036
Birmingham,J01000007,Birmingham 054,E02001880,9929.0,7427.447032820251
Birmingham,J01000007,Birmingham 055,E02001881,10386.0,6975.915802021546
Birmingham,J01000007,Birmingham 056,E02001882,8702.0,5597.651984542049
Birmingham,J01000007,Birmingham 057,E02001883,8371.0,3557.3180504658408
Birmingham,J01000007,Birmingham 058,E02001884,10140.0,7843.196408778304
Birmingham,J01000007,Birmingham 060,E02001886,10411.0,5180.724675448991
Birmingham,J01000007,Birmingham 062,E02001888,6748.0,5426.672427902687
Birmingham,J01000007,Birmingham 063,E02001889,8890.0,9478.408917479795
Birmingham,J01000007,Birmingham 064,E02001890,11398.0,4562.7221607891115
Birmingham,J01000007,Birmingham 066,E02001892,10977.0,5314.878233329868
Birmingham,J01000007,Birmingham 067,E02001893,8488.0,5292.8494534162755
Birmingham,J01000007,Birmingham 069,E02001895,8853.0,3589.9427480542877
Birmingham,J01000007,Birmingham 070,E02001896,9520.0,8478.019569767077
Birmingham,J01000007,Birmingham 071,E02001897,8452.0,4496.920626933774
Birmingham,J01000007,Birmingham 072,E02001898,6204.0,5639.885269866259
Birmingham,J01000007,Birmingham 073,E02001899,8378.0,3632.684199048768
Birmingham,J01000007,Birmingham 074,E02001900,7334.0,4611.348058860948
Birmingham,J01000007,Birmingham 075,E02001901,8632.0,5172.6597772749465
Birmingham,J01000007,Birmingham 076,E02001902,6010.0,5343.715712160515
Birmingham,J01000007,Birmingham 077,E02001903,7358.0,10077.20855261928
Birmingham,J01000007,Birmingham 078,E02001904,7768.0,3246.355541450538
Birmingham,J01000007,Birmingham 079,E02001905,12112.0,2765.912282338431
Birmingham,J01000007,Birmingham 080,E02001906,9163.0,4948.948149199147
Birmingham,J01000007,Birmingham 081,E02001907,10030.0,3486.5974861504733
Birmingham,J01000007,Birmingham 082,E02001908,8803.0,16652.73178597786
Birmingham,J01000007,Birmingham 083,E02001909,8189.0,9442.67143516482
Birmingham,J01000007,Birmingham 084,E02001910,7053.0,8010.9146437753825
Birmingham,J01000007,Birmingham 085,E02001911,8590.0,6196.780949849073
Birmingham,J01000007,Birmingham 087,E02001913,8990.0,3633.824155848841
Birmingham,J01000007,Birmingham 088,E02001914,6758.0,2859.494046038432
Birmingham,J01000007,Birmingham 089,E02001915,11996.0,6233.207736115631
Birmingham,J01000007,Birmingham 090,E02001916,9837.0,6745.654617949227
Birmingham,J01000007,Birmingham 092,E02001918,8898.0,5431.812097434166
Birmingham,J01000007,Birmingham 093,E02001919,6750.0,6158.141679073183
Birmingham,J01000007,Birmingham 094,E02001920,7591.0,2733.17647883446
Birmingham,J01000007,Birmingham 095,E02001921,8021.0,4011.4000748314115
Birmingham,J01000007,Birmingham 096,E02001922,17846.0,12525.0779020394
Birmingham,J01000007,Birmingham 097,E02001923,11133.0,6381.299594544617
Birmingham,J01000007,Birmingham 098,E02001924,6621.0,5726.051449164271
Birmingham,J01000007,Birmingham 099,E02001925,6836.0,3096.4813794580527
Birmingham,J01000007,Birmingham 100,E02001926,7880.0,4469.0554366456545
Birmingham,J01000007,Birmingham 101,E02001927,7838.0,5169.7613795148945
Birmingham,J01000007,Birmingham 102,E02001928,6781.0,4228.087301952956
Birmingham,J01000007,Birmingham 103,E02001929,10025.0,7180.271806052142
Birmingham,J01000007,Birmingham 104,E02001930,7687.0,5979.0591719992335
Birmingham,J01000007,Birmingham 105,E02001931,8103.0,3236.968459290071
Birmingham,J01000007,Birmingham 106,E02001932,7579.0,2271.1964850008485
Birmingham,J01000007,Birmingham 107,E02001933,7199.0,4336.7343745605585
Birmingham,J01000007,Birmingham 108,E02001934,7009.0,5809.3271845425825
Birmingham,J01000007,Birmingham 109,E02001935,7942.0,4035.0253879680968
Birmingham,J01000007,Birmingham 110,E02001936,6417.0,5206.623770419725
Birmingham,J01000007,Birmingham 111,E02001937,8102.0,4411.386577936067
Birmingham,J01000007,Birmingham 112,E02001938,8009.0,4331.348593223385
Birmingham,J01000007,Birmingham 113,E02001939,6202.0,3609.5727558551853
Birmingham,J01000007,Birmingham 115,E02001941,6204.0,4423.59362579966
Birmingham,J01000007,Birmingham 116,E02001942,6788.0,5837.022553527076
Birmingham,J01000007,Birmingham 117,E02001943,6329.0,3770.9559550256467
Birmingham,J01000007,Birmingham 118,E02001944,8075.0,4320.971203154135
Birmingham,J01000007,Birmingham 119,E02001945,7495.0,4663.352965234622
Birmingham,J01000007,Birmingham 120,E02001946,7434.0,4133.275504124731
Birmingham,J01000007,Birmingham 121,E02001947,6206.0,5055.553522669556
Birmingham,J01000007,Birmingham 122,E02001948,7216.0,5765.561629909758
Birmingham,J01000007,Birmingham 123,E02001949,5928.0,3109.327410656149
Birmingham,J01000007,Birmingham 124,E02001950,8308.0,4415.990857507248
Birmingham,J01000007,Birmingham 125,E02001951,8758.0,5420.092405145652
Birmingham,J01000007,Birmingham 126,E02001952,9252.0,5549.234339011672
Birmingham,J01000007,Birmingham 127,E02001953,6889.0,3161.107632097553
Birmingham,J01000007,Birmingham 128,E02001954,7469.0,4062.2440535065616
Birmingham,J01000007,Birmingham 129,E02001955,7359.0,2582.8885391779027
Birmingham,J01000007,Birmingham 130,E02001956,6743.0,4179.283251006413
Birmingham,J01000007,Birmingham 131,E02001957,7577.0,5651.543881892674
Birmingham,J01000007,Birmingham 132,E02006807,7741.0,5356.204104993646
Birmingham,J01000007,Birmingham 133,E02006809,10098.0,2709.855694539552
Birmingham,J01000007,Birmingham 134,E02006895,10127.0,11738.19566724488
Birmingham,J01000007,Birmingham 135,E02006896,7814.0,6212.984677798552
Birmingham,J01000007,Birmingham 136,E02006897,8736.0,10436.712286020907
Birmingham,J01000007,Birmingham 137,E02006898,8690.0,8385.781658712736
Birmingham,J01000007,Birmingham 138,E02006899,8925.0,7975.215768309126
Birmingham,J01000007,Birmingham 139,E02006900,15420.0,7677.93742002939
Bradford,J01000013,Bradford 017,E02002199,6891.0,772.9002443648651
Bradford,J01000013,Bradford 019,E02002201,12244.0,4501.834423182641
