CityName,CityCode,LTLAName,LTLACode,Time,Aggregation,Price
Birmingham,J01000007,Birmingham,E08000025,2019-03,Mean,"213,444"
Birmingham,J01000007,Birmingham,E08000025,2019-06,Mean,"214,388"
Birmingham,J01000007,Birmingham,E08000025,2019-09,Mean,"214,843"
Birmingham,J01000007,Birmingham,E08000025,2019-12,Mean,"213,963"
Birmingham,J01000007,Birmingham,E08000025,2020-03,Mean,"215,975"
Birmingham,J01000007,Birmingham,E08000025,2020-06,Mean,"217,770"
Birmingham,J01000007,Birmingham,E08000025,2020-09,Mean,"220,599"
Birmingham,J01000007,Birmingham,E08000025,2020-12,Mean,"230,274"
Birmingham,J01000007,Birmingham,E08000025,2021-03,Mean,"242,134"
Birmingham,J01000007,Birmingham,E08000025,2021-06,Mean,"250,291"
Birmingham,J01000007,Birmingham,E08000025,2021-09,Mean,"251,050"
Birmingham,J01000007,Birmingham,E08000025,2021-12,Mean,"252,239"
Birmingham,J01000007,Birmingham,E08000025,2022-03,Mean,"249,485"
Birmingham,J01000007,Birmingham,E08000025,2019-03,Median,"178,000"
Birmingham,J01000007,Birmingham,E08000025,2019-06,Median,"180,000"
Birmingham,J01000007,Birmingham,E08000025,2019-09,Median,"180,000"
Birmingham,J01000007,Birmingham,E08000025,2019-12,Median,"180,000"
Birmingham,J01000007,Birmingham,E08000025,2020-03,Median,"182,995"
Birmingham,J01000007,Birmingham,E08000025,2020-06,Median,"185,000"
Birmingham,J01000007,Birmingham,E08000025,2020-09,Median,"187,500"
Birmingham,J01000007,Birmingham,E08000025,2020-12,Median,"194,000"
Birmingham,J01000007,Birmingham,E08000025,2021-03,Median,"200,000"
Birmingham,J01000007,Birmingham,E08000025,2021-06,Median,"208,000"
Birmingham,J01000007,Birmingham,E08000025,2021-09,Median,"210,000"
Birmingham,J01000007,Birmingham,E08000025,2021-12,Median,"210,000"
Birmingham,J01000007,Birmingham,E08000025,2022-03,Median,"210,000"
