CityName,CityCode,MSOAName,MSOACode,Time,Aggregation,Price
Birmingham,J01000007,Birmingham 008,E02001834,2019-03,Mean,"150,622"
Birmingham,J01000007,Birmingham 008,E02001834,2019-06,Mean,"151,903"
Birmingham,J01000007,Birmingham 008,E02001834,2019-09,Mean,"155,302"
Birmingham,J01000007,Birmingham 008,E02001834,2019-12,Mean,"153,377"
Birmingham,J01000007,Birmingham 008,E02001834,2020-03,Mean,"151,646"
Birmingham,J01000007,Birmingham 008,E02001834,2020-06,Mean,"151,720"
Birmingham,J01000007,Birmingham 008,E02001834,2020-09,Mean,"149,720"
Birmingham,J01000007,Birmingham 008,E02001834,2020-12,Mean,"148,858"
Birmingham,J01000007,Birmingham 008,E02001834,2021-03,Mean,"162,384"
Birmingham,J01000007,Birmingham 008,E02001834,2021-06,Mean,"165,379"
Birmingham,J01000007,Birmingham 008,E02001834,2021-09,Mean,"172,391"
Birmingham,J01000007,Birmingham 008,E02001834,2021-12,Mean,"179,252"
Birmingham,J01000007,Birmingham 008,E02001834,2022-03,Mean,"180,152"
Birmingham,J01000007,Birmingham 008,E02001834,2019-03,Median,"145,000"
Birmingham,J01000007,Birmingham 008,E02001834,2019-06,Median,"152,000"
Birmingham,J01000007,Birmingham 008,E02001834,2019-09,Median,"155,000"
Birmingham,J01000007,Birmingham 008,E02001834,2019-12,Median,"155,000"
Birmingham,J01000007,Birmingham 008,E02001834,2020-03,Median,"151,500"
Birmingham,J01000007,Birmingham 008,E02001834,2020-06,Median,"148,500"
Birmingham,J01000007,Birmingham 008,E02001834,2020-09,Median,"145,500"
Birmingham,J01000007,Birmingham 008,E02001834,2020-12,Median,"146,250"
Birmingham,J01000007,Birmingham 008,E02001834,2021-03,Median,"160,000"
Birmingham,J01000007,Birmingham 008,E02001834,2021-06,Median,"160,000"
Birmingham,J01000007,Birmingham 008,E02001834,2021-09,Median,"167,000"
Birmingham,J01000007,Birmingham 008,E02001834,2021-12,Median,"175,000"
Birmingham,J01000007,Birmingham 008,E02001834,2022-03,Median,"177,000"
Birmingham,J01000007,Birmingham 011,E02001837,2019-03,Mean,"133,197"
Birmingham,J01000007,Birmingham 011,E02001837,2019-06,Mean,"131,792"
Birmingham,J01000007,Birmingham 011,E02001837,2019-09,Mean,"132,524"
Birmingham,J01000007,Birmingham 011,E02001837,2019-12,Mean,"133,042"
Birmingham,J01000007,Birmingham 011,E02001837,2020-03,Mean,"133,636"
Birmingham,J01000007,Birmingham 011,E02001837,2020-06,Mean,"134,266"
Birmingham,J01000007,Birmingham 011,E02001837,2020-09,Mean,"137,178"
Birmingham,J01000007,Birmingham 011,E02001837,2020-12,Mean,"144,787"
Birmingham,J01000007,Birmingham 011,E02001837,2021-03,Mean,"146,004"
Birmingham,J01000007,Birmingham 011,E02001837,2021-06,Mean,"148,329"
Birmingham,J01000007,Birmingham 011,E02001837,2021-09,Mean,"150,485"
Birmingham,J01000007,Birmingham 011,E02001837,2021-12,Mean,"157,665"
Birmingham,J01000007,Birmingham 011,E02001837,2022-03,Mean,"164,506"
