CityName,CityCode,RoadLength,Area,RoadDensity
Birmingham,J01000007,4206.509,229.134913131866,18.358219367378446
Bradford,J01000013,1497.253,70.00252428527831,21.388557273996412
Brighton & Hove,J01000014,698.856,31.5250456505432,22.16827876307796
Bristol,J01000015,2523.362,112.459984848835,22.43786537399787
Cambridge,J01000019,817.231,37.6249812996979,21.72043604461703
Carlisle,J01000021,403.701,18.9174732497559,21.340112110649297
Coventry,J01000028,1615.208,73.5774244995575,21.95249440960949
Derby,J01000031,1394.333,58.6999713495178,23.753555034937065
Doncaster,J01000032,665.574,31.0900253001251,21.407959420262095
Exeter,J01000035,696.148,27.3274838507118,25.474280903540535
Leeds,J01000051,2682.005,111.6324759991,24.025311415843028
Leicester,J01000052,1661.764,78.31752019362641,21.218291844424826
Lincoln,J01000053,630.308,27.4899595995789,22.928662289109194
Liverpool,J01000054,2601.447,123.312586250725,21.0963623349089
Manchester,J01000058,2215.772,97.3875176527405,22.75211498768136
Newcastle-upon-Tyne,J01000062,1305.571,57.8950245005493,22.550659771939692
Norwich,J01000066,1124.067,52.6225582991791,21.360934099958712
Nottingham,J01000067,1359.377,62.502492999298106,21.749164469571888
Oxford,J01000070,744.741,32.6874859996948,22.78367323834429
Plymouth,J01000072,1395.678,59.7301065250406,23.36640734794088
Portsmouth,J01000074,809.367,33.1000210799294,24.452159654084618
Preston,J01000075,694.973,30.5050729502869,22.782210720576682
Salford,J01000080,529.164,18.827501732894905,28.105906322954088
Sheffield,J01000082,2443.431,122.485069650085,19.948806878915015
Southampton,J01000087,1251.578,53.5374782001801,23.37760466266769
Southend-on-Sea,J01000088,667.735,36.1499882496948,18.47123698596603
Stoke on Trent,J01000095,1680.512,75.9975980004272,22.112698877542858
Sunderland,J01000096,987.274,39.137487501098605,25.225788956746058
York,J01000112,805.081,33.697505900329595,23.89141209385842
