CityName,CityCode,MSOAName,MSOACode,RoadLength,Area,RoadDensity
Birmingham,J01000007,Birmingham 008,E02001834,25.622,1.06765419767761,23.998407027044586
Birmingham,J01000007,Birmingham 011,E02001837,26.769,1.48302147390747,18.05031179317245
Birmingham,J01000007,Birmingham 013,E02001839,39.645,1.8455699677887,21.481168794430108
Birmingham,J01000007,Birmingham 014,E02001840,35.79,1.54822817884827,23.116747575686325
Birmingham,J01000007,Birmingham 016,E02001842,35.492,1.41958781500244,25.001623446548813
Birmingham,J01000007,Birmingham 017,E02001843,31.267,1.24141410366821,25.18659962667595
Birmingham,J01000007,Birmingham 019,E02001845,25.307,1.15380317276764,21.93355036396357
Birmingham,J01000007,Birmingham 020,E02001846,25.171,1.31222382465363,19.18194101272628
Birmingham,J01000007,Birmingham 022,E02001848,46.722,2.01531796607208,23.183438438284103
Birmingham,J01000007,Birmingham 023,E02001849,30.499,1.33588075590515,22.83063055230169
Birmingham,J01000007,Birmingham 024,E02001850,57.964,2.37209637407684,24.435769403575826
Birmingham,J01000007,Birmingham 025,E02001851,50.682,2.20990015996552,22.93406775480335
Birmingham,J01000007,Birmingham 026,E02001852,25.606,1.1914851500472998,21.490825965379
Birmingham,J01000007,Birmingham 028,E02001854,79.834,3.35958017237854,23.763088214524892
Birmingham,J01000007,Birmingham 029,E02001855,81.869,3.07905431175995,26.589008088397332
Birmingham,J01000007,Birmingham 030,E02001856,34.798,1.9295168144531296,18.03456686116652
Birmingham,J01000007,Birmingham 031,E02001857,57.065,2.7261181563873302,20.93269503608857
Birmingham,J01000007,Birmingham 032,E02001858,30.26,1.63274595346069,18.53319552613948
Birmingham,J01000007,Birmingham 033,E02001859,72.406,3.39814079990387,21.30753381438706
Birmingham,J01000007,Birmingham 034,E02001860,20.298,0.988398834495544,20.53624436977369
Birmingham,J01000007,Birmingham 035,E02001861,25.489,1.17328236995697,21.724523143507906
Birmingham,J01000007,Birmingham 036,E02001862,44.868,2.22714708999634,20.14595273097734
Birmingham,J01000007,Birmingham 037,E02001863,47.975,2.26874416886902,21.1460598591492
