CityName,CityCode,MSOAName,MSOACode,RoadLength,Area,RoadDensity
Birmingham,J01000007,Birmingham 008,E02001834,25.622,1.06765419767761,23.998407027044586
Birmingham,J01000007,Birmingham 011,E02001837,25.817,1.48302147390747,17.408379078947036
Birmingham,J01000007,Birmingham 013,E02001839,35.18,1.8455699677887,19.061861979771752
Birmingham,J01000007,Birmingham 014,E02001840,31.597,1.54822817884827,20.408490448420253
Birmingham,J01000007,Birmingham 016,E02001842,31.121,1.41958781500244,21.92256066944792
Birmingham,J01000007,Birmingham 017,E02001843,31.247,1.24141410366821,25.17048896711368
Birmingham,J01000007,Birmingham 019,E02001845,25.478,1.15380317276764,22.081755884658943
Birmingham,J01000007,Birmingham 020,E02001846,21.775,1.31222382465363,16.593967881773256
Birmingham,J01000007,Birmingham 022,E02001848,40.611,2.01531796607208,20.1511625875852
Birmingham,J01000007,Birmingham 023,E02001849,27.982,1.33588075590515,20.94648034737224
Birmingham,J01000007,Birmingham 024,E02001850,45.945,2.37209637407684,19.36894322764632
Birmingham,J01000007,Birmingham 025,E02001851,38.554,2.20990015996552,17.44603701942876
Birmingham,J01000007,Birmingham 026,E02001852,23.878,1.1914851500472998,20.040535124631717
Birmingham,J01000007,Birmingham 028,E02001854,74.676,3.35958017237854,22.22777733181177
Birmingham,J01000007,Birmingham 029,E02001855,65.494,3.07905431175995,21.270816740664905
Birmingham,J01000007,Birmingham 030,E02001856,39.66,1.9295168144531296,20.55436869112777
Birmingham,J01000007,Birmingham 031,E02001857,58.973,2.7261181563873302,21.63259133204681
Birmingham,J01000007,Birmingham 032,E02001858,25.955,1.63274595346069,15.896533042992404
Birmingham,J01000007,Birmingham 033,E02001859,69.112,3.39814079990387,20.338180219593934
Birmingham,J01000007,Birmingham 034,E02001860,20.129,0.988398834495544,20.36526076062542
Birmingham,J01000007,Birmingham 035,E02001861,24.742,1.17328236995697,21.0878477624337
Birmingham,J01000007,Birmingham 036,E02001862,41.036,2.22714708999634,18.425365879209817
Birmingham,J01000007,Birmingham 037,E02001863,51.493,2.26874416886902,22.696697453406355
Birmingham,J01000007,Birmingham 038,E02001864,19.024,0.940300193740845,20.23183673324137
Birmingham,J01000007,Birmingham 039,E02001865,24.578,1.21960692583466,20.15239457842501
Birmingham,J01000007,Birmingham 040,E02001866,21.015,0.8650865196609501,24.2923678989199
Birmingham,J01000007,Birmingham 041,E02001867,23.884,0.918561423339844,26.001527380889733
Birmingham,J01000007,Birmingham 042,E02001868,24.163,1.773001832901,13.628299504047495
Birmingham,J01000007,Birmingham 043,E02001869,62.259,2.74826999795532,22.653887735309837
