CityName,CityCode,MSOAName,MSOACode,POINum,Population,Availability
Birmingham,J01000007,Birmingham 008,E02001834,8.0,6002.0,0.0013328890369876708
Birmingham,J01000007,Birmingham 011,E02001837,11.0,10327.0,0.001065168974532778
Birmingham,J01000007,Birmingham 013,E02001839,7.0,6380.0,0.00109717868338558
Birmingham,J01000007,Birmingham 014,E02001840,11.0,9544.0,0.0011525565800502933
Birmingham,J01000007,Birmingham 016,E02001842,6.0,7532.0,0.0007966011683483802
Birmingham,J01000007,Birmingham 017,E02001843,14.0,6625.0,0.0021132075471698114
Birmingham,J01000007,Birmingham 019,E02001845,3.0,6502.0,0.00046139649338665026
Birmingham,J01000007,Birmingham 020,E02001846,4.0,8192.0,0.00048828125
Birmingham,J01000007,Birmingham 022,E02001848,6.0,7088.0,0.0008465011286681715
Birmingham,J01000007,Birmingham 023,E02001849,15.0,8376.0,0.0017908309455587394
Birmingham,J01000007,Birmingham 024,E02001850,13.0,8297.0,0.0015668313848378932
Birmingham,J01000007,Birmingham 025,E02001851,12.0,8781.0,0.0013665869490946361
Birmingham,J01000007,Birmingham 026,E02001852,8.0,7186.0,0.001113275814082939
Birmingham,J01000007,Birmingham 029,E02001855,7.0,9648.0,0.0007255389718076285
Birmingham,J01000007,Birmingham 030,E02001856,14.0,9679.0,0.001446430416365327
Birmingham,J01000007,Birmingham 031,E02001857,15.0,14162.0,0.0010591724332721366
Birmingham,J01000007,Birmingham 032,E02001858,4.0,9170.0,0.0004362050163576881
Birmingham,J01000007,Birmingham 033,E02001859,20.0,10558.0,0.0018942981625307824
Birmingham,J01000007,Birmingham 034,E02001860,11.0,9458.0,0.0011630365827870585
Birmingham,J01000007,Birmingham 035,E02001861,6.0,10900.0,0.0005504587155963303
Birmingham,J01000007,Birmingham 036,E02001862,7.0,10833.0,0.000646173728422413
Birmingham,J01000007,Birmingham 037,E02001863,15.0,8008.0,0.0018731268731268732
Birmingham,J01000007,Birmingham 039,E02001865,17.0,11628.0,0.0014619883040935672
Birmingham,J01000007,Birmingham 040,E02001866,10.0,9091.0,0.0010999890001099988
Birmingham,J01000007,Birmingham 041,E02001867,4.0,7762.0,0.000515331100231899
Birmingham,J01000007,Birmingham 042,E02001868,7.0,9560.0,0.0007322175732217573
Birmingham,J01000007,Birmingham 043,E02001869,19.0,6851.0,0.0027733177638300977
Birmingham,J01000007,Birmingham 044,E02001870,12.0,12722.0,0.0009432479169941833
Birmingham,J01000007,Birmingham 045,E02001871,8.0,8238.0,0.0009711094925952901
Birmingham,J01000007,Birmingham 046,E02001872,3.0,7314.0,0.00041017227235438887
Birmingham,J01000007,Birmingham 047,E02001873,18.0,11982.0,0.0015022533800701052
Birmingham,J01000007,Birmingham 048,E02001874,5.0,10030.0,0.0004985044865403788
Birmingham,J01000007,Birmingham 049,E02001875,17.0,9631.0,0.0017651334233205274
Birmingham,J01000007,Birmingham 050,E02001876,61.0,15268.0,0.003995284254650249
Birmingham,J01000007,Birmingham 051,E02001877,10.0,11690.0,0.000855431993156544
Birmingham,J01000007,Birmingham 052,E02001878,12.0,9074.0,0.0013224597751818382
Birmingham,J01000007,Birmingham 053,E02001879,13.0,10504.0,0.0012376237623762376
