CityName,CityCode,MSOAName,MSOACode,POINum,Population,Availability
Birmingham,J01000007,Birmingham 008,E02001834,9.0,6002.0,0.0014995001666111296
Birmingham,J01000007,Birmingham 011,E02001837,13.0,10327.0,0.0012588360608114652
Birmingham,J01000007,Birmingham 013,E02001839,9.0,6380.0,0.0014106583072100312
Birmingham,J01000007,Birmingham 014,E02001840,10.0,9544.0,0.0010477787091366304
Birmingham,J01000007,Birmingham 016,E02001842,4.0,7532.0,0.0005310674455655868
Birmingham,J01000007,Birmingham 017,E02001843,21.0,6625.0,0.003169811320754717
Birmingham,J01000007,Birmingham 019,E02001845,4.0,6502.0,0.0006151953245155337
Birmingham,J01000007,Birmingham 020,E02001846,9.0,8192.0,0.0010986328125
Birmingham,J01000007,Birmingham 022,E02001848,6.0,7088.0,0.0008465011286681715
Birmingham,J01000007,Birmingham 023,E02001849,29.0,8376.0,0.0034622731614135627
Birmingham,J01000007,Birmingham 024,E02001850,23.0,8297.0,0.0027720862962516573
Birmingham,J01000007,Birmingham 025,E02001851,11.0,8781.0,0.0012527047033367498
Birmingham,J01000007,Birmingham 026,E02001852,14.0,7186.0,0.0019482326746451434
Birmingham,J01000007,Birmingham 029,E02001855,12.0,9648.0,0.0012437810945273632
Birmingham,J01000007,Birmingham 030,E02001856,5.0,9679.0,0.0005165822915590454
Birmingham,J01000007,Birmingham 031,E02001857,29.0,14162.0,0.0020477333709927976
Birmingham,J01000007,Birmingham 032,E02001858,15.0,9170.0,0.0016357688113413304
Birmingham,J01000007,Birmingham 033,E02001859,9.0,10558.0,0.0008524341731388521
Birmingham,J01000007,Birmingham 034,E02001860,10.0,9458.0,0.0010573059843518714
Birmingham,J01000007,Birmingham 035,E02001861,11.0,10900.0,0.0010091743119266055
Birmingham,J01000007,Birmingham 036,E02001862,15.0,10833.0,0.0013846579894765993
Birmingham,J01000007,Birmingham 037,E02001863,21.0,8008.0,0.0026223776223776225
Birmingham,J01000007,Birmingham 039,E02001865,24.0,11628.0,0.0020639834881320948
Birmingham,J01000007,Birmingham 040,E02001866,24.0,9091.0,0.0026399736002639972
Birmingham,J01000007,Birmingham 041,E02001867,16.0,7762.0,0.002061324400927596
Birmingham,J01000007,Birmingham 042,E02001868,7.0,9560.0,0.0007322175732217573
Birmingham,J01000007,Birmingham 043,E02001869,11.0,6851.0,0.0016056050211647934
Birmingham,J01000007,Birmingham 044,E02001870,16.0,12722.0,0.0012576638893255778
