CityName,CityCode,POINum,Population,Availability
Birmingham,J01000007,95,1111589.0,8.546324225950418e-05
Bradford,J01000013,12,512248.0,2.3426152957161374e-05
Brighton & Hove,J01000014,46,291738.0,0.00015767572273752477
Bristol,J01000015,50,438115.0,0.00011412528673978293
Cambridge,J01000019,26,110287.0,0.00023574854697289797
Carlisle,J01000021,4,108524.0,3.68582064796727e-05
Coventry,J01000028,22,379387.0,5.798828109555678e-05
Derby,J01000031,13,256814.0,5.062029328619156e-05
Doncaster,J01000032,5,312785.0,1.598542129577825e-05
Exeter,J01000035,9,133333.0,6.750016875042188e-05
Leeds,J01000051,52,798786.0,6.509878740989451e-05
Leicester,J01000052,23,339432.0,6.776025831388908e-05
Lincoln,J01000053,10,100049.0,9.995102399824086e-05
Liverpool,J01000054,40,500474.0,7.992423182822684e-05
Manchester,J01000058,72,529330.0,0.0001360210076889653
Newcastle-upon-Tyne,J01000062,15,221909.0,6.759527554087486e-05
Norwich,J01000066,17,130620.0,0.00013014852243148063
Nottingham,J01000067,22,318494.0,6.907508461697865e-05
Oxford,J01000070,18,138004.0,0.00013043100199994204
Plymouth,J01000072,16,250489.0,6.387506038189302e-05
Portsmouth,J01000074,9,197644.0,4.553641901600858e-05
Preston,J01000075,9,144147.0,6.243626298153967e-05
Salford,J01000080,6,213830.0,2.8059673572464108e-05
Sheffield,J01000082,30,589214.0,5.0915287145247734e-05
Southampton,J01000087,15,238348.0,6.293319012536291e-05
Southend-on-Sea,J01000088,7,182773.0,3.829887346599334e-05
Stoke on Trent,J01000095,18,245496.0,7.332095023951511e-05
Sunderland,J01000096,8,277846.0,2.8792928456771018e-05
York,J01000112,12,211012.0,5.6868803669933464e-05
