Date,PM2.5_1,PM2.5_2,PM2.5_3,PM10_1,PM10_2,PM10_3,NOx_1,NOx_2,NOx_3
2019-01-01,8,7,9,13,No data,20,45,17,No data
2019-01-02,13,10,14,20,No data,25,96,60,No data
2019-01-03,21,19,20,29,No data,31,119,31,No data
2019-01-04,29,26,29,40,No data,39,231,76,No data
2019-01-05,18,18,17,25,No data,24,129,39,No data
2019-01-06,13,12,13,23,No data,24,79,23,No data
2019-01-07,7,6,7,14,No data,15,62,13,No data
2019-01-08,11,8,10,25,No data,25,74,28,No data
2019-01-09,11,11,12,22,No data,23,131,77,No data
2019-01-10,17,19,22,24,No data,29,153,67,No data
2019-01-11,9,10,12,15,No data,17,116,47,No data
2019-01-12,4,4,5,6,No data,9,49,12,No data
2019-01-13,4,4,5,8,No data,9,26,6,No data
2019-01-14,8,7,9,19,No data,18,96,26,No data
2019-01-15,4,4,6,7,No data,9,77,15,No data
2019-01-16,5,4,6,8,No data,9,92,20,No data
2019-01-17,6,7,9,16,No data,15,117,51,No data
2019-01-18,9,8,9,18,No data,15,118,33,No data
2019-01-19,16,14,17,20,No data,24,49,30,No data
2019-01-20,29,28,33,34,No data,36,97,59,No data
2019-01-21,22,20,23,27,No data,23,149,45,No data
2019-01-22,5,5,7,10,No data,10,116,31,No data
2019-01-23,12,14,16,17,No data,18,169,87,No data
2019-01-24,11,14,14,15,No data,17,181,79,No data
2019-01-25,6,6,8,9,No data,10,84,26,No data
2019-01-26,3,9,5,5,No data,7,49,13,No data
2019-01-27,6,5,7,13,No data,14,26,9,No data
2019-01-28,7,7,9,17,No data,15,115,39,No data
2019-01-29,6,10,9,10,No data,11,111,31,No data
2019-01-30,11,10,15,19,No data,17,261,86,No data
2019-01-31,18,19,20,22,No data,23,205,77,No data
2019-02-01,15,14,No data,19,No data,21,48,35,No data
2019-02-02,12,12,No data,18,No data,18,81,46,No data
2019-02-03,9,8,No data,18,No data,12,109,30,No data
2019-02-04,8,No data,No data,15,No data,16,194,84,No data
2019-02-05,15,No data,No data,18,No data,No data,274,50,No data
2019-02-06,9,No data,No data,16,No data,No data,125,35,No data
2019-02-07,4,No data,No data,8,No data,No data,47,10,No data
2019-02-08,4,4,No data,6,No data,No data,43,8,No data
2019-02-09,7,5,No data,13,No data,No data,42,7,No data
2019-02-10,4,4,No data,6,No data,No data,51,13,No data
2019-02-11,7,7,No data,14,No data,No data,178,58,No data
2019-02-12,12,15,No data,17,No data,No data,128,32,No data
2019-02-13,12,11,No data,20,No data,No data,79,20,No data
2019-02-14,24,21,No data,33,No data,No data,189,65,No data
2019-02-15,26,24,No data,38,No data,No data,179,36,No data
2019-02-16,14,17,No data,22,No data,No data,57,14,No data
2019-02-17,17,15,No data,28,No data,No data,51,12,No data
2019-02-18,No data,No data,No data,No data,No data,No data,No data,13,No data
2019-02-19,No data,4,No data,No data,No data,No data,No data,13,No data
2019-02-20,8,6,8,16,No data,17,54,11,No data
2019-02-21,11,11,11,20,No data,19,80,18,No data
2019-02-22,19,14,17,28,No data,24,160,46,No data
2019-02-23,43,40,43,52,No data,49,128,43,No data
2019-02-24,47,No data,45,57,No data,56,299,99,No data
2019-02-25,40,No data,35,56,No data,44,466,152,No data
2019-02-26,42,No data,40,66,No data,58,511,203,No data
2019-02-27,48,No data,37,69,No data,48,393,114,No data
2019-02-28,36,No data,35,45,No data,41,135,36,No data
2019-03-01,19,No data,20,28,No data,26,111,32,No data
2019-03-02,7,6,8,12,No data,13,40,12,No data
2019-03-03,6,5,7,12,No data,14,33,9,No data
2019-03-04,3,3,4,9,No data,9,49,10,No data
2019-03-05,6,4,6,13,No data,12,66,12,No data
2019-03-06,5,5,6,8,No data,10,63,13,No data
2019-03-07,4,3,5,7,No data,8,46,12,No data
2019-03-08,6,7,6,13,No data,13,93,19,No data
2019-03-09,8,6,8,16,No data,18,34,8,No data
2019-03-10,3,3,4,6,No data,7,26,7,No data
2019-03-11,5,No data,6,12,No data,11,53,No data,No data
2019-03-12,3,No data,4,6,No data,7,44,No data,No data
2019-03-13,6,5,6,11,No data,12,43,8,No data
2019-03-14,5,4,6,10,No data,11,41,10,No data
2019-03-15,3,2,4,8,No data,9,39,8,No data
2019-03-16,4,3,5,8,No data,10,25,6,No data
2019-03-17,3,2,4,6,No data,7,37,8,No data
2019-03-18,5,4,7,11,No data,12,78,18,No data
2019-03-19,5,4,6,10,No data,11,72,16,No data
2019-03-20,8,8,9,16,No data,12,70,14,No data
2019-03-21,10,8,11,22,No data,20,77,17,No data
2019-03-22,9,8,10,17,No data,17,57,10,No data
2019-03-23,9,8,11,17,No data,22,37,21,No data
2019-03-24,7,7,10,13,No data,17,44,21,No data
2019-03-25,8,7,10,17,No data,19,56,22,No data
2019-03-26,9,8,11,18,No data,20,85,27,No data
2019-03-27,10,9,12,18,No data,19,70,28,No data
2019-03-28,15,14,17,25,No data,24,119,42,No data
2019-03-29,33,31,33,45,No data,No data,127,30,No data
2019-03-30,36,35,39,45,No data,No data,84,50,No data
2019-03-31,10,12,12,16,No data,No data,12,15,No data
2019-04-01,11,11,14,22,No data,23,49,29,No data
2019-04-02,6,5,8,11,No data,No data,82,23,No data
2019-04-03,8,7,10,13,No data,No data,92,36,No data
2019-04-04,9,9,13,11,No data,16,42,23,No data
2019-04-05,9,8,11,13,No data,17,37,23,No data
2019-04-06,14,13,17,17,No data,22,19,16,No data
2019-04-07,35,34,38,40,No data,45,13,16,No data
2019-04-08,49,44,50,61,No data,64,23,26,No data
2019-04-09,17,14,18,27,No data,31,17,16,No data
2019-04-10,8,7,11,18,No data,21,24,20,No data
2019-04-11,10,9,12,17,No data,21,55,41,No data
2019-04-12,12,11,14,18,No data,20,39,30,No data
2019-04-13,10,9,13,15,No data,18,22,16,No data
2019-04-14,13,12,15,17,No data,20,20,17,No data
2019-04-15,29,24,29,38,No data,38,28,20,No data
2019-04-16,40,38,42,53,No data,54,52,40,No data
2019-04-17,37,34,38,51,No data,54,27,25,No data
2019-04-18,48,46,53,58,No data,63,35,32,No data
2019-04-19,31,30,34,43,No data,45,39,31,No data
2019-04-20,28,27,30,37,No data,37,46,36,No data
2019-04-21,24,25,24,32,No data,30,111,34,No data
2019-04-22,23,22,26,31,No data,33,33,20,No data
2019-04-23,29,26,31,44,No data,43,30,30,No data
2019-04-24,24,20,26,36,No data,38,44,26,No data
2019-04-25,5,4,No data,9,No data,No data,70,19,No data
2019-04-26,5,4,5,10,No data,8,62,14,No data
2019-04-27,3,3,3,7,No data,6,25,7,No data
2019-04-28,8,7,8,14,No data,14,31,16,No data
2019-04-29,10,11,10,13,No data,14,52,31,No data
2019-04-30,20,17,18,26,No data,23,107,37,No data
2019-05-01,20,20,19,26,No data,24,98,29,No data
2019-05-02,5,4,No data,9,No data,No data,76,24,No data
2019-05-03,8,8,No data,11,No data,No data,55,24,No data
2019-05-04,6,6,No data,10,No data,No data,34,18,No data
2019-05-05,7,6,No data,11,No data,No data,47,21,No data
2019-05-06,5,5,No data,7,No data,No data,38,12,No data
