Date,NOx,PM2.5
2019-01-01,12,No data
2019-01-02,27,No data
2019-01-03,31,No data
2019-01-04,44,No data
2019-01-05,25,No data
2019-01-06,24,No data
2019-01-07,29,No data
2019-01-08,23,No data
2019-01-09,30,No data
2019-01-10,40,No data
2019-01-11,41,No data
2019-01-12,22,No data
2019-01-13,8,No data
2019-01-14,21,No data
2019-01-15,19,No data
2019-01-16,13,No data
2019-01-17,26,No data
2019-01-18,51,No data
2019-01-19,14,No data
2019-01-20,42,No data
2019-01-21,63,No data
2019-01-22,21,No data
2019-01-23,39,No data
2019-01-24,118,No data
2019-01-25,87,No data
2019-01-26,10,No data
2019-01-27,7,No data
2019-01-28,33,No data
2019-01-29,117,No data
2019-01-30,No data,No data
2019-01-31,No data,No data
2019-02-01,27,No data
2019-02-02,18,No data
2019-02-03,18,No data
2019-02-04,10,No data
2019-02-05,15,No data
2019-02-06,23,No data
2019-02-07,9,No data
2019-02-08,6,No data
2019-02-09,7,No data
2019-02-10,11,No data
2019-02-11,71,No data
2019-02-12,66,No data
2019-02-13,47,No data
2019-02-14,121,No data
2019-02-15,148,No data
2019-02-16,130,No data
2019-02-17,34,No data
2019-02-18,27,No data
2019-02-19,38,No data
2019-02-20,15,No data
2019-02-21,17,No data
2019-02-22,35,No data
2019-02-23,52,No data
2019-02-24,71,No data
2019-02-25,88,No data
2019-02-26,97,No data
2019-02-27,125,No data
2019-02-28,29,No data
2019-03-01,18,No data
2019-03-02,12,No data
2019-03-03,7,No data
2019-03-04,11,No data
2019-03-05,15,No data
2019-03-06,13,No data
2019-03-07,9,No data
2019-03-08,15,No data
2019-03-09,11,No data
2019-03-10,6,No data
2019-03-11,8,No data
2019-03-12,8,No data
2019-03-13,9,No data
2019-03-14,9,No data
2019-03-15,7,No data
2019-03-16,5,No data
2019-03-17,7,No data
2019-03-18,32,No data
2019-03-19,33,No data
2019-03-20,14,No data
2019-03-21,18,No data
2019-03-22,17,No data
2019-03-23,18,No data
2019-03-24,14,No data
2019-03-25,23,No data
2019-03-26,49,No data
2019-03-27,44,No data
2019-03-28,57,No data
2019-03-29,46,No data
2019-03-30,66,No data
2019-03-31,23,No data
2019-04-01,15,No data
2019-04-02,26,No data
2019-04-03,28,No data
2019-04-04,10,No data
2019-04-05,16,No data
2019-04-06,15,No data
2019-04-07,18,No data
2019-04-08,27,No data
2019-04-09,20,No data
2019-04-10,10,No data
2019-04-11,13,No data
2019-04-12,14,No data
2019-04-13,12,No data
2019-04-14,12,No data
2019-04-15,18,No data
2019-04-16,37,No data
2019-04-17,44,No data
2019-04-18,23,No data
2019-04-19,17,No data
2019-04-20,13,No data
2019-04-21,14,No data
2019-04-22,25,No data
2019-04-23,33,No data
2019-04-24,24,No data
2019-04-25,16,No data
2019-04-26,10,No data
2019-04-27,6,No data
2019-04-28,11,No data
2019-04-29,20,No data
2019-04-30,15,No data
2019-05-01,20,No data
2019-05-02,12,No data
2019-05-03,16,No data
2019-05-04,10,No data
2019-05-05,16,No data
2019-05-06,18,No data
2019-05-07,25,No data
2019-05-08,13,No data
2019-05-09,20,No data
2019-05-10,23,No data
2019-05-11,26,No data
2019-05-12,20,No data
