Date,NOx
2019-01-01,24
2019-01-02,84
2019-01-03,75
2019-01-04,140
2019-01-05,110
2019-01-06,64
2019-01-07,56
2019-01-08,67
2019-01-09,60
2019-01-10,138
2019-01-11,124
2019-01-12,53
2019-01-13,25
2019-01-14,90
2019-01-15,65
2019-01-16,64
2019-01-17,98
2019-01-18,146
2019-01-19,85
2019-01-20,97
2019-01-21,167
2019-01-22,134
2019-01-23,120
2019-01-24,215
2019-01-25,116
2019-01-26,57
2019-01-27,27
2019-01-28,100
2019-01-29,125
2019-01-30,123
2019-01-31,113
2019-02-01,48
2019-02-02,79
2019-02-03,67
2019-02-04,92
2019-02-05,116
2019-02-06,117
2019-02-07,43
2019-02-08,36
2019-02-09,44
2019-02-10,43
2019-02-11,114
2019-02-12,99
2019-02-13,98
2019-02-14,139
2019-02-15,146
2019-02-16,88
2019-02-17,43
2019-02-18,63
2019-02-19,No data
2019-02-20,No data
2019-02-21,63
2019-02-22,93
2019-02-23,86
2019-02-24,75
2019-02-25,122
2019-02-26,118
2019-02-27,140
2019-02-28,66
2019-03-01,90
2019-03-02,53
2019-03-03,24
2019-03-04,31
2019-03-05,48
2019-03-06,39
2019-03-07,34
2019-03-08,58
2019-03-09,35
2019-03-10,22
2019-03-11,40
2019-03-12,43
2019-03-13,26
2019-03-14,34
2019-03-15,36
2019-03-16,31
2019-03-17,26
2019-03-18,72
2019-03-19,76
2019-03-20,No data
2019-03-21,No data
2019-03-22,No data
2019-03-23,No data
2019-03-24,No data
2019-03-25,No data
2019-03-26,No data
2019-03-27,No data
2019-03-28,No data
2019-03-29,No data
2019-03-30,No data
2019-03-31,No data
2019-04-01,No data
2019-04-02,No data
2019-04-03,No data
2019-04-04,No data
2019-04-05,No data
2019-04-06,No data
2019-04-07,No data
2019-04-08,No data
2019-04-09,No data
2019-04-10,No data
2019-04-11,No data
2019-04-12,No data
2019-04-13,No data
2019-04-14,No data
2019-04-15,No data
2019-04-16,No data
2019-04-17,No data
2019-04-18,No data
2019-04-19,No data
2019-04-20,No data
2019-04-21,No data
2019-04-22,No data
2019-04-23,No data
2019-04-24,No data
2019-04-25,No data
2019-04-26,No data
2019-04-27,No data
2019-04-28,No data
2019-04-29,No data
2019-04-30,No data
2019-05-01,No data
2019-05-02,No data
2019-05-03,No data
2019-05-04,43
2019-05-05,43
2019-05-06,43
2019-05-07,81
2019-05-08,64
2019-05-09,59
2019-05-10,58
2019-05-11,41
2019-05-12,32
2019-05-13,51
2019-05-14,42
2019-05-15,43
2019-05-16,28
2019-05-17,29
2019-05-18,66
2019-05-19,30
2019-05-20,53
2019-05-21,63
2019-05-22,74
2019-05-23,71
2019-05-24,57
2019-05-25,60
2019-05-26,25
2019-05-27,28
2019-05-28,57
2019-05-29,64
2019-05-30,39
2019-05-31,51
2019-06-01,66
2019-06-02,27
2019-06-03,43
2019-06-04,54
2019-06-05,86
2019-06-06,61
2019-06-07,50
2019-06-08,47
2019-06-09,34
2019-06-10,34
2019-06-11,24
2019-06-12,76
2019-06-13,48
2019-06-14,60
2019-06-15,64
2019-06-16,30
2019-06-17,58
2019-06-18,70
2019-06-19,68
2019-06-20,58
