Date,NOx_1,NOx_2,PM2.5_1,PM2.5_2,PM10_1,PM10_2
2019-01-01,No data,44,No data,9,No data,23
2019-01-02,No data,191,No data,17,No data,37
2019-01-03,No data,86,No data,15,No data,35
2019-01-04,No data,117,No data,21,No data,37
2019-01-05,No data,58,No data,18,No data,31
2019-01-06,No data,65,No data,18,No data,30
2019-01-07,No data,35,No data,9,No data,22
2019-01-08,No data,84,No data,No data,No data,No data
2019-01-09,No data,181,No data,No data,No data,No data
2019-01-10,No data,160,No data,No data,No data,No data
2019-01-11,No data,83,No data,No data,No data,No data
2019-01-12,No data,29,No data,6,No data,14
2019-01-13,No data,28,No data,6,No data,17
2019-01-14,No data,73,No data,7,No data,19
2019-01-15,No data,31,No data,6,No data,14
2019-01-16,No data,52,No data,4,No data,13
2019-01-17,No data,97,No data,8,No data,27
2019-01-18,No data,46,No data,9,No data,18
2019-01-19,No data,107,No data,19,No data,24
2019-01-20,No data,82,No data,25,No data,29
2019-01-21,No data,80,No data,12,No data,15
2019-01-22,No data,92,No data,11,No data,15
2019-01-23,No data,85,No data,19,No data,20
2019-01-24,No data,172,No data,31,No data,38
2019-01-25,No data,37,No data,7,No data,11
2019-01-26,No data,25,No data,5,No data,10
2019-01-27,No data,29,No data,2,No data,11
2019-01-28,No data,88,No data,6,No data,21
2019-01-29,No data,83,No data,5,No data,11
2019-01-30,No data,195,No data,18,No data,24
2019-01-31,No data,160,No data,15,No data,21
2019-02-01,No data,189,No data,12,No data,25
2019-02-02,No data,157,No data,17,No data,46
2019-02-03,No data,31,No data,8,No data,13
2019-02-04,No data,84,No data,8,No data,17
2019-02-05,No data,78,No data,12,No data,14
2019-02-06,No data,32,No data,9,No data,20
2019-02-07,No data,No data,No data,14,No data,20
2019-02-08,No data,No data,No data,5,No data,13
2019-02-09,No data,28,No data,8,No data,20
2019-02-10,No data,45,No data,7,No data,13
2019-02-11,No data,160,No data,12,No data,23
2019-02-12,No data,30,No data,9,No data,15
2019-02-13,No data,26,No data,7,No data,22
2019-02-14,No data,124,No data,21,No data,44
2019-02-15,No data,61,No data,23,No data,36
2019-02-16,No data,21,No data,8,No data,20
2019-02-17,No data,11,No data,13,No data,24
2019-02-18,No data,23,No data,6,No data,18
2019-02-19,No data,35,No data,6,No data,18
2019-02-20,No data,31,No data,5,No data,8
2019-02-21,No data,99,No data,12,No data,25
2019-02-22,No data,36,No data,15,No data,35
2019-02-23,No data,36,No data,21,No data,35
2019-02-24,No data,43,No data,24,No data,37
2019-02-25,No data,181,No data,52,No data,72
2019-02-26,No data,226,No data,46,No data,72
2019-02-27,No data,166,No data,43,No data,72
2019-02-28,No data,114,No data,27,No data,40
2019-03-01,No data,47,No data,21,No data,30
2019-03-02,No data,20,No data,9,No data,14
2019-03-03,No data,23,No data,8,No data,23
2019-03-04,No data,43,No data,4,No data,16
2019-03-05,No data,28,No data,6,No data,16
2019-03-06,No data,45,No data,7,No data,9
2019-03-07,No data,79,No data,7,No data,14
2019-03-08,No data,42,No data,6,No data,13
2019-03-09,No data,46,No data,5,No data,14
2019-03-10,No data,31,No data,4,No data,10
2019-03-11,No data,37,No data,4,No data,14
2019-03-12,No data,30,No data,5,No data,14
2019-03-13,No data,38,No data,7,No data,20
2019-03-14,No data,48,No data,5,No data,17
2019-03-15,No data,43,No data,5,No data,16
2019-03-16,No data,34,No data,2,No data,10
2019-03-17,No data,32,No data,2,No data,12
2019-03-18,No data,76,No data,No data,No data,No data
2019-03-19,No data,44,No data,No data,No data,No data
2019-03-20,No data,39,No data,10,No data,15
2019-03-21,No data,40,No data,11,No data,27
2019-03-22,No data,25,No data,10,No data,20
2019-03-23,No data,38,No data,9,No data,24
2019-03-24,No data,22,No data,6,No data,17
2019-03-25,No data,72,No data,11,No data,28
2019-03-26,No data,49,No data,7,No data,23
2019-03-27,No data,50,No data,13,No data,27
2019-03-28,No data,58,No data,16,No data,30
2019-03-29,No data,62,No data,16,No data,28
2019-03-30,No data,58,No data,15,No data,26
2019-03-31,No data,33,No data,6,No data,12
2019-04-01,No data,30,No data,8,No data,21
2019-04-02,No data,59,No data,4,No data,13
2019-04-03,No data,51,No data,4,No data,8
2019-04-04,No data,59,No data,8,No data,16
2019-04-05,No data,36,No data,19,No data,27
2019-04-06,No data,57,No data,22,No data,32
2019-04-07,No data,35,No data,27,No data,35
2019-04-08,No data,46,No data,21,No data,37
2019-04-09,No data,56,No data,13,No data,26
