Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_1,PM2.5_2
2019-01-01,21,42,No data,14,1,7
2019-01-02,41,No data,No data,17,3,8
2019-01-03,70,116,No data,25,15,19
2019-01-04,79,95,No data,36,28,32
2019-01-05,36,53,No data,19,10,14
2019-01-06,29,32,No data,15,8,11
2019-01-07,38,34,No data,13,8,9
2019-01-08,42,57,No data,14,3,8
2019-01-09,54,106,No data,21,8,14
2019-01-10,60,70,No data,13,8,12
2019-01-11,63,87,No data,13,6,9
2019-01-12,18,18,No data,6,1,5
2019-01-13,14,13,No data,7,1,6
2019-01-14,42,52,No data,11,3,6
2019-01-15,38,36,No data,9,3,6
2019-01-16,47,55,No data,7,1,5
2019-01-17,46,69,No data,14,No data,7
2019-01-18,118,165,No data,25,No data,17
2019-01-19,49,119,25,22,18,19
2019-01-20,64,99,37,30,30,30
2019-01-21,105,120,20,16,16,15
2019-01-22,74,97,11,9,8,8
2019-01-23,109,124,19,13,14,13
2019-01-24,177,198,33,28,29,28
2019-01-25,65,65,13,11,11,10
2019-01-26,35,37,8,7,6,6
2019-01-27,17,25,6,6,3,4
2019-01-28,63,81,No data,12,No data,7
2019-01-29,67,76,No data,No data,No data,No data
2019-01-30,85,137,No data,No data,No data,No data
2019-01-31,96,169,No data,No data,No data,No data
2019-02-01,51,110,No data,No data,No data,No data
2019-02-02,44,82,No data,No data,No data,No data
2019-02-03,63,59,No data,No data,No data,No data
2019-02-04,51,51,No data,No data,No data,No data
2019-02-05,112,No data,27,23,22,20
2019-02-06,79,No data,22,18,12,12
2019-02-07,48,54,13,10,7,7
2019-02-08,35,30,10,9,6,4
2019-02-09,22,21,14,12,7,6
2019-02-10,44,52,12,11,8,7
2019-02-11,77,114,16,19,9,11
2019-02-12,76,80,18,16,13,13
2019-02-13,50,42,17,14,10,10
2019-02-14,164,188,41,34,25,24
2019-02-15,249,274,53,49,35,37
2019-02-16,47,49,22,17,15,13
2019-02-17,31,37,25,22,16,16
2019-02-18,35,27,17,14,8,7
2019-02-19,No data,45,No data,13,No data,7
2019-02-20,No data,34,No data,12,No data,9
2019-02-21,93,94,No data,18,13,13
2019-02-22,185,191,No data,36,31,27
2019-02-23,107,138,52,47,46,44
2019-02-24,105,122,63,58,56,56
2019-02-25,288,274,71,58,56,51
2019-02-26,257,254,67,52,44,42
2019-02-27,160,146,56,45,43,39
2019-02-28,63,106,50,44,42,40
2019-03-01,67,108,32,28,26,25
2019-03-02,34,39,19,14,12,11
2019-03-03,20,32,15,11,8,7
2019-03-04,30,34,9,7,4,4
2019-03-05,56,58,17,12,8,8
2019-03-06,54,67,No data,9,9,7
2019-03-07,36,37,No data,6,5,5
2019-03-08,58,62,13,No data,8,6
2019-03-09,27,34,13,12,7,6
2019-03-10,30,43,10,9,7,6
2019-03-11,32,32,13,11,7,6
2019-03-12,31,35,11,9,5,5
2019-03-13,23,22,15,13,7,9
2019-03-14,24,25,12,10,6,6
2019-03-15,30,34,10,11,8,6
2019-03-16,29,34,10,9,6,6
2019-03-17,23,24,9,8,5,No data
2019-03-18,47,63,13,16,9,No data
