Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_2
2019-01-01,58,25,18,No data,9
2019-01-02,93,37,26,No data,7
2019-01-03,141,48,43,No data,19
2019-01-04,152,109,60,No data,34
2019-01-05,146,61,41,No data,21
2019-01-06,114,42,31,No data,16
2019-01-07,79,33,18,No data,9
2019-01-08,119,39,41,No data,9
2019-01-09,133,61,31,No data,12
2019-01-10,198,107,45,No data,23
2019-01-11,235,109,47,No data,17
2019-01-12,66,26,8,No data,5
2019-01-13,44,13,8,No data,4
2019-01-14,128,50,35,No data,9
2019-01-15,94,40,18,No data,6
2019-01-16,107,53,9,No data,5
2019-01-17,147,78,36,No data,8
2019-01-18,108,55,34,No data,14
2019-01-19,47,22,20,No data,14
2019-01-20,157,63,49,No data,28
2019-01-21,135,80,35,No data,25
2019-01-22,132,66,16,No data,7
2019-01-23,161,123,35,No data,16
2019-01-24,204,146,38,No data,27
2019-01-25,112,53,15,No data,11
2019-01-26,43,23,6,No data,4
2019-01-27,46,13,14,No data,5
2019-01-28,124,69,32,No data,7
2019-01-29,99,54,16,No data,10
2019-01-30,166,170,28,No data,15
2019-01-31,109,104,33,No data,24
2019-02-01,39,54,19,No data,14
2019-02-02,88,38,30,No data,10
2019-02-03,63,43,24,No data,11
2019-02-04,200,91,25,No data,9
2019-02-05,144,82,22,No data,15
2019-02-06,124,51,26,No data,8
2019-02-07,72,34,14,No data,5
2019-02-08,45,20,7,No data,5
2019-02-09,47,19,19,No data,7
2019-02-10,73,28,12,No data,5
2019-02-11,170,73,31,No data,11
2019-02-12,81,60,23,No data,13
2019-02-13,82,38,27,No data,13
2019-02-14,161,64,47,No data,21
2019-02-15,158,63,55,No data,27
2019-02-16,60,22,29,No data,15
2019-02-17,38,15,33,No data,17
2019-02-18,68,34,23,No data,7
2019-02-19,76,36,No data,No data,No data
2019-02-20,54,28,No data,No data,No data
2019-02-21,No data,50,No data,No data,No data
2019-02-22,No data,49,No data,No data,No data
2019-02-23,123,46,55,No data,No data
2019-02-24,No data,73,56,No data,No data
2019-02-25,No data,96,73,No data,No data
2019-02-26,321,125,78,No data,No data
2019-02-27,320,160,83,No data,42
2019-02-28,179,75,67,No data,39
2019-03-01,148,54,63,No data,33
2019-03-02,44,20,20,No data,8
2019-03-03,29,14,14,No data,6
2019-03-04,70,25,17,No data,4
2019-03-05,63,26,15,No data,6
2019-03-06,57,No data,13,No data,6
2019-03-07,64,No data,12,No data,5
2019-03-08,88,41,23,No data,7
2019-03-09,60,24,24,No data,8
2019-03-10,43,14,10,No data,4
2019-03-11,70,24,28,No data,5
2019-03-12,85,30,8,No data,5
2019-03-13,61,19,20,No data,6
2019-03-14,61,25,18,No data,6
2019-03-15,55,23,20,No data,5
2019-03-16,37,13,10,No data,5
2019-03-17,52,16,11,No data,3
2019-03-18,107,43,26,No data,7
2019-03-19,117,52,26,No data,10
2019-03-20,83,46,25,No data,10
2019-03-21,113,52,33,No data,13
2019-03-22,70,35,25,No data,12
2019-03-23,69,35,26,No data,12
2019-03-24,66,27,24,No data,11
2019-03-25,82,35,29,No data,8
2019-03-26,116,48,37,No data,14
2019-03-27,132,49,37,No data,13
2019-03-28,142,71,41,No data,23
2019-03-29,121,68,56,No data,38
2019-03-30,102,67,62,No data,No data
2019-03-31,14,44,15,No data,12
2019-04-01,55,25,24,No data,10
2019-04-02,117,43,19,No data,8
2019-04-03,117,43,25,No data,14
2019-04-04,51,14,16,No data,12
2019-04-05,38,12,13,No data,11
2019-04-06,19,15,14,No data,13
2019-04-07,16,22,48,No data,44
2019-04-08,19,30,62,No data,47
2019-04-09,19,18,29,No data,14
2019-04-10,28,29,19,No data,8
2019-04-11,63,32,21,No data,9
2019-04-12,46,28,16,No data,11
2019-04-13,28,18,12,No data,10
2019-04-14,25,14,14,No data,12
2019-04-15,31,11,32,No data,26
2019-04-16,35,42,44,No data,32
2019-04-17,24,26,56,No data,37
2019-04-18,35,30,61,No data,48
2019-04-19,29,32,47,No data,31
2019-04-20,38,28,45,No data,30
2019-04-21,49,30,36,No data,25
2019-04-22,27,8,34,No data,25
2019-04-23,29,36,46,No data,28
2019-04-24,39,23,41,No data,22
2019-04-25,52,18,17,No data,7
2019-04-26,52,18,18,No data,6
2019-04-27,33,13,13,No data,4
2019-04-28,31,18,14,No data,7
2019-04-29,49,20,18,No data,9
2019-04-30,80,25,29,No data,20
2019-05-01,105,51,45,No data,26
2019-05-02,85,37,21,No data,9
2019-05-03,64,33,19,No data,9
2019-05-04,47,29,20,No data,8
2019-05-05,71,26,23,No data,9
2019-05-06,58,19,15,No data,7
2019-05-07,71,28,23,No data,13
2019-05-08,78,44,18,No data,11
2019-05-09,38,55,16,No data,11
2019-05-10,66,27,19,No data,9
2019-05-11,78,34,24,No data,10
2019-05-12,52,19,16,No data,10
2019-05-13,63,16,17,No data,8
2019-05-14,56,21,21,No data,10
2019-05-15,43,12,22,No data,9
2019-05-16,33,16,23,No data,12
2019-05-17,24,32,20,No data,10
2019-05-18,71,35,23,No data,13
2019-05-19,77,44,27,No data,18
2019-05-20,72,33,21,No data,9
2019-05-21,77,34,24,No data,9
2019-05-22,75,35,21,No data,9
2019-05-23,92,36,26,No data,10
2019-05-24,73,33,29,No data,13
2019-05-25,51,22,22,No data,11
2019-05-26,35,16,18,No data,7
2019-05-27,46,19,16,No data,6
2019-05-28,66,28,18,No data,8
2019-05-29,72,28,17,No data,9
2019-05-30,40,19,17,No data,7
2019-05-31,46,21,16,No data,7
2019-06-01,46,15,14,No data,8
2019-06-02,24,10,13,No data,9
2019-06-03,45,21,14,No data,7
2019-06-04,62,18,14,No data,9
2019-06-05,56,26,12,No data,6
2019-06-06,68,29,10,No data,7
2019-06-07,85,40,13,No data,10
2019-06-08,50,27,9,No data,6
2019-06-09,36,12,9,No data,6
2019-06-10,39,35,9,No data,8
2019-06-11,19,36,6,No data,5
2019-06-12,92,44,14,No data,8
2019-06-13,97,39,13,No data,7
2019-06-14,84,24,13,No data,5
2019-06-15,48,14,15,No data,6
2019-06-16,26,9,14,No data,6
2019-06-17,34,14,16,No data,7
2019-06-18,86,28,21,No data,10
2019-06-19,88,40,23,No data,14
2019-06-20,68,32,14,No data,7
2019-06-21,81,34,18,No data,8
2019-06-22,45,22,12,No data,9
2019-06-23,14,8,15,No data,13
2019-06-24,73,45,27,No data,32
2019-06-25,42,45,17,No data,19
2019-06-26,20,18,16,No data,8
2019-06-27,19,5,15,No data,6
2019-06-28,25,4,20,No data,8
2019-06-29,39,11,30,No data,14
2019-06-30,24,12,14,No data,6
2019-07-01,47,23,19,No data,6
2019-07-02,59,29,21,No data,6
2019-07-03,42,27,20,No data,8
2019-07-04,66,31,25,No data,11
2019-07-05,65,27,16,No data,9
2019-07-06,61,28,17,No data,8
2019-07-07,22,10,15,No data,5
2019-07-08,41,9,16,No data,6
2019-07-09,57,27,22,No data,11
2019-07-10,69,37,19,No data,11
2019-07-11,56,27,10,No data,7
2019-07-12,60,24,16,No data,8
2019-07-13,55,26,14,No data,8
2019-07-14,17,10,11,No data,6
2019-07-15,55,20,19,No data,9
2019-07-16,97,42,29,No data,15
2019-07-17,88,44,29,No data,17
2019-07-18,54,27,16,No data,7
2019-07-19,61,24,13,No data,8
2019-07-20,44,15,16,No data,7
2019-07-21,28,13,12,No data,6
2019-07-22,36,17,13,No data,8
2019-07-23,66,16,26,No data,12
2019-07-24,56,25,25,No data,16
2019-07-25,67,18,30,No data,13
2019-07-26,67,28,25,No data,12
2019-07-27,75,28,17,No data,9
2019-07-28,36,13,5,No data,4
2019-07-29,61,19,18,No data,7
2019-07-30,33,10,16,No data,7
2019-07-31,45,26,16,No data,8
2019-08-01,65,27,26,No data,11
2019-08-02,40,17,19,No data,9
2019-08-03,63,11,18,No data,9
2019-08-04,40,12,22,No data,11
2019-08-05,50,22,20,No data,8
2019-08-06,35,17,15,No data,7
2019-08-07,44,25,17,No data,7
2019-08-08,59,20,17,No data,8
2019-08-09,32,10,15,No data,8
2019-08-10,19,8,17,No data,6
2019-08-11,33,12,12,No data,5
2019-08-12,65,31,19,No data,7
2019-08-13,68,32,17,No data,7
2019-08-14,53,19,11,No data,7
2019-08-15,56,26,17,No data,6
2019-08-16,45,17,12,No data,7
2019-08-17,29,13,21,No data,6
2019-08-18,24,10,20,No data,6
2019-08-19,51,28,No data,No data,No data
2019-08-20,69,29,No data,No data,No data
2019-08-21,53,24,No data,No data,No data
2019-08-22,40,19,No data,No data,No data
2019-08-23,83,25,17,No data,9
2019-08-24,106,24,30,No data,14
2019-08-25,80,20,32,No data,18
2019-08-26,72,32,36,No data,21
2019-08-27,84,50,22,No data,24
2019-08-28,66,28,15,No data,9
2019-08-29,52,25,15,No data,8
2019-08-30,45,19,19,No data,9
2019-08-31,44,19,17,No data,7
2019-09-01,47,19,16,No data,6
2019-09-02,58,29,18,No data,7
2019-09-03,46,24,14,No data,6
2019-09-04,45,19,14,No data,5
2019-09-05,66,28,17,No data,6
2019-09-06,65,27,19,No data,7
2019-09-07,52,34,14,No data,5
2019-09-08,80,27,18,No data,8
2019-09-09,98,24,19,No data,9
2019-09-10,118,56,24,No data,11
2019-09-11,63,30,19,No data,7
