Date,NOx_1,NOx_2,PM10_1,PM2.5_1
2019-01-01,29,109,No data,7
2019-01-02,153,156,No data,11
2019-01-03,79,77,No data,18
2019-01-04,110,68,No data,30
2019-01-05,76,78,No data,16
2019-01-06,89,63,No data,19
2019-01-07,57,28,No data,9
2019-01-08,60,54,No data,10
2019-01-09,130,233,No data,11
2019-01-10,276,160,No data,No data
2019-01-11,258,160,No data,No data
2019-01-12,23,16,No data,No data
2019-01-13,14,9,No data,No data
2019-01-14,46,37,No data,No data
2019-01-15,81,40,No data,No data
2019-01-16,56,48,No data,No data
2019-01-17,112,104,No data,No data
2019-01-18,114,36,No data,No data
2019-01-19,87,30,No data,16
2019-01-20,83,79,No data,27
2019-01-21,83,44,No data,19
2019-01-22,92,64,No data,11
2019-01-23,189,93,No data,23
2019-01-24,192,81,No data,31
2019-01-25,50,33,No data,9
2019-01-26,51,21,No data,5
2019-01-27,15,10,No data,3
2019-01-28,66,95,No data,5
2019-01-29,89,57,No data,9
2019-01-30,No data,68,No data,No data
2019-01-31,No data,51,No data,No data
2019-02-01,No data,70,No data,No data
2019-02-02,105,165,No data,14
2019-02-03,109,51,No data,15
2019-02-04,64,45,No data,8
2019-02-05,128,No data,No data,18
2019-02-06,93,No data,No data,11
2019-02-07,60,31,No data,5
2019-02-08,41,12,No data,5
2019-02-09,37,19,No data,8
2019-02-10,33,30,No data,6
2019-02-11,125,122,No data,10
2019-02-12,91,25,No data,10
2019-02-13,70,21,No data,11
2019-02-14,156,47,No data,23
2019-02-15,122,36,No data,30
2019-02-16,53,14,No data,15
2019-02-17,30,10,No data,15
2019-02-18,44,17,No data,10
2019-02-19,59,25,No data,8
2019-02-20,66,16,No data,11
2019-02-21,92,55,No data,14
2019-02-22,151,50,No data,21
2019-02-23,99,39,No data,37
2019-02-24,131,103,No data,54
2019-02-25,210,174,No data,31
2019-02-26,257,165,No data,30
2019-02-27,231,219,No data,44
2019-02-28,173,137,No data,51
2019-03-01,75,47,No data,31
2019-03-02,47,16,No data,10
2019-03-03,33,15,No data,7
2019-03-04,38,33,No data,4
2019-03-05,64,23,No data,6
2019-03-06,51,17,No data,5
2019-03-07,50,26,No data,4
2019-03-08,81,35,No data,8
2019-03-09,33,23,No data,6
2019-03-10,29,20,No data,4
2019-03-11,40,17,No data,4
2019-03-12,35,28,No data,3
2019-03-13,27,14,No data,6
2019-03-14,30,19,No data,7
2019-03-15,37,26,No data,6
2019-03-16,39,12,No data,6
2019-03-17,21,17,No data,2
2019-03-18,61,46,No data,7
2019-03-19,68,43,No data,11
2019-03-20,60,25,No data,9
2019-03-21,58,31,No data,12
2019-03-22,53,22,No data,10
2019-03-23,27,38,No data,7
2019-03-24,44,30,No data,11
2019-03-25,35,40,No data,8
2019-03-26,64,45,No data,13
2019-03-27,49,57,No data,10
2019-03-28,114,84,No data,22
2019-03-29,112,99,No data,26
2019-03-30,74,52,No data,27
2019-03-31,27,15,No data,6
2019-04-01,65,22,No data,11
2019-04-02,35,38,No data,7
2019-04-03,63,54,No data,9
2019-04-04,59,23,No data,13
2019-04-05,63,22,No data,13
2019-04-06,49,23,No data,23
2019-04-07,37,19,No data,31
2019-04-08,42,46,No data,33
2019-04-09,39,16,No data,15
2019-04-10,52,21,No data,11
2019-04-11,61,33,No data,9
2019-04-12,60,44,No data,12
2019-04-13,46,20,No data,11
2019-04-14,37,19,No data,11
2019-04-15,49,16,No data,28
2019-04-16,64,46,No data,41
2019-04-17,56,26,No data,35
2019-04-18,69,29,No data,52
2019-04-19,51,40,No data,30
2019-04-20,100,70,No data,29
2019-04-21,67,43,No data,27
2019-04-22,43,22,No data,28
2019-04-23,60,31,No data,42
2019-04-24,56,27,No data,26
2019-04-25,58,20,No data,10
2019-04-26,52,16,No data,8
2019-04-27,22,12,No data,5
2019-04-28,24,21,No data,7
2019-04-29,66,38,No data,No data
2019-04-30,65,42,No data,No data
2019-05-01,41,41,No data,No data
2019-05-02,40,32,No data,No data
2019-05-03,58,33,No data,8
2019-05-04,38,17,No data,6
2019-05-05,30,25,No data,8
