Date,PM10,PM2.5,NOx
2019-01-01,13,7,4
2019-01-02,11,7,15
2019-01-03,12,9,21
2019-01-04,28,24,25
2019-01-05,22,18,14
2019-01-06,30,22,22
2019-01-07,18,13,13
2019-01-08,12,6,7
2019-01-09,11,5,12
2019-01-10,18,14,29
2019-01-11,13,9,21
2019-01-12,8,8,8
2019-01-13,8,6,4
2019-01-14,12,8,35
2019-01-15,10,8,15
2019-01-16,7,6,12
2019-01-17,10,7,11
2019-01-18,19,13,34
2019-01-19,20,14,22
2019-01-20,45,39,86
2019-01-21,39,37,61
2019-01-22,15,13,26
2019-01-23,19,17,27
2019-01-24,35,32,65
2019-01-25,17,15,24
2019-01-26,6,6,8
2019-01-27,No data,4,4
2019-01-28,No data,6,14
2019-01-29,No data,11,24
2019-01-30,No data,18,42
2019-01-31,No data,22,52
2019-02-01,18,14,21
2019-02-02,14,11,14
2019-02-03,13,11,17
2019-02-04,11,9,25
2019-02-05,20,17,24
2019-02-06,16,10,22
2019-02-07,8,5,8
2019-02-08,9,5,7
2019-02-09,15,8,5
2019-02-10,7,5,10
2019-02-11,18,11,38
2019-02-12,18,13,24
2019-02-13,No data,No data,21
2019-02-14,No data,No data,32
2019-02-15,No data,No data,41
2019-02-16,No data,No data,20
2019-02-17,No data,No data,14
2019-02-18,No data,No data,15
2019-02-19,No data,No data,12
2019-02-20,19,12,14
2019-02-21,25,18,21
2019-02-22,32,23,31
2019-02-23,39,30,38
2019-02-24,44,36,47
2019-02-25,39,31,94
2019-02-26,46,34,102
2019-02-27,58,41,100
2019-02-28,70,52,28
2019-03-01,25,16,12
2019-03-02,23,15,11
2019-03-03,13,7,4
2019-03-04,7,5,6
2019-03-05,10,6,11
2019-03-06,15,8,8
2019-03-07,7,4,7
2019-03-08,11,7,13
2019-03-09,15,7,6
2019-03-10,5,4,6
2019-03-11,11,6,11
2019-03-12,No data,No data,No data
2019-03-13,No data,No data,No data
2019-03-14,8,7,6
2019-03-15,9,7,8
2019-03-16,10,8,5
2019-03-17,5,5,5
2019-03-18,12,9,12
2019-03-19,19,17,18
2019-03-20,15,15,15
