Date,PM2.5_1,PM10_1,PM10_2,NOx_1,NOx_2
2019-01-01,4,15,18,24,42
2019-01-02,4,20,27,68,100
2019-01-03,17,32,46,63,137
2019-01-04,28,42,53,73,133
2019-01-05,18,29,36,58,85
2019-01-06,14,27,29,46,79
2019-01-07,4,17,18,31,74
2019-01-08,4,21,35,53,87
2019-01-09,7,22,33,78,120
2019-01-10,17,27,33,116,191
2019-01-11,13,21,35,89,154
2019-01-12,6,12,9,28,30
2019-01-13,4,11,11,15,18
2019-01-14,8,19,26,46,106
2019-01-15,5,12,17,34,93
2019-01-16,7,14,15,48,118
2019-01-17,8,20,33,79,152
2019-01-18,17,30,29,118,115
2019-01-19,13,24,23,64,38
2019-01-20,29,38,48,73,147
2019-01-21,21,28,30,74,137
2019-01-22,8,16,17,57,162
2019-01-23,17,26,51,142,320
2019-01-24,30,38,42,166,268
2019-01-25,13,21,19,59,105
2019-01-26,2,9,9,26,51
2019-01-27,2,11,13,19,23
2019-01-28,5,15,26,66,124
2019-01-29,11,20,18,69,120
2019-01-30,15,23,36,78,218
2019-01-31,34,40,41,141,186
2019-02-01,14,21,24,53,85
2019-02-02,9,20,31,70,69
2019-02-03,12,21,25,57,115
2019-02-04,6,15,21,61,131
2019-02-05,18,26,24,142,193
2019-02-06,11,23,26,70,140
2019-02-07,3,11,14,29,75
2019-02-08,3,11,12,21,56
2019-02-09,4,15,19,17,35
2019-02-10,4,No data,14,36,66
2019-02-11,8,19,37,90,262
2019-02-12,12,23,28,76,161
2019-02-13,11,23,30,44,114
2019-02-14,24,38,52,129,296
2019-02-15,30,42,49,110,243
2019-02-16,No data,No data,30,No data,69
2019-02-17,No data,No data,32,No data,57
2019-02-18,No data,No data,No data,No data,75
2019-02-19,No data,No data,No data,29,72
2019-02-20,No data,No data,No data,25,64
2019-02-21,No data,No data,No data,44,103
2019-02-22,No data,No data,36,87,158
2019-02-23,35,45,48,77,129
2019-02-24,56,63,65,167,171
2019-02-25,40,59,65,253,277
2019-02-26,39,60,66,223,234
2019-02-27,44,61,74,197,285
2019-02-28,53,65,65,154,211
2019-03-01,29,39,42,66,130
2019-03-02,6,16,17,25,49
2019-03-03,5,16,15,21,36
2019-03-04,1,8,11,21,53
2019-03-05,4,14,16,33,80
2019-03-06,4,11,9,27,60
2019-03-07,2,9,10,30,80
2019-03-08,5,17,20,41,112
2019-03-09,5,17,14,27,38
2019-03-10,2,10,8,25,27
2019-03-11,3,14,14,28,64
2019-03-12,4,11,10,26,62
2019-03-13,No data,No data,15,No data,40
2019-03-14,No data,No data,12,No data,51
2019-03-15,6,15,11,30,48
2019-03-16,5,14,11,20,32
2019-03-17,4,11,6,21,27
2019-03-18,7,17,18,42,109
2019-03-19,8,16,16,36,106
2019-03-20,8,17,15,39,83
2019-03-21,10,24,23,43,96
2019-03-22,9,20,18,26,61
2019-03-23,9,24,22,46,58
