Date,PM2.5_1,PM10_1,NOx_1,NOx_2
2019-01-01,9,14,13,35
2019-01-02,9,17,36,15
2019-01-03,15,22,75,26
2019-01-04,18,23,79,57
2019-01-05,25,30,86,66
2019-01-06,32,37,137,91
2019-01-07,14,20,35,61
2019-01-08,8,17,25,48
2019-01-09,No data,No data,74,76
2019-01-10,No data,No data,69,96
2019-01-11,No data,No data,49,82
2019-01-12,No data,No data,11,31
2019-01-13,No data,No data,7,25
2019-01-14,No data,No data,18,59
2019-01-15,No data,10,19,44
2019-01-16,No data,10,14,43
2019-01-17,8,17,63,92
2019-01-18,10,18,49,25
2019-01-19,14,16,123,101
2019-01-20,14,15,42,56
2019-01-21,13,16,74,90
2019-01-22,5,9,27,84
2019-01-23,No data,No data,No data,85
2019-01-24,No data,No data,No data,87
2019-01-25,6,9,14,58
2019-01-26,6,12,9,19
2019-01-27,7,14,6,23
2019-01-28,9,15,55,107
2019-01-29,7,10,62,58
2019-01-30,9,12,95,105
2019-01-31,6,8,43,26
2019-02-01,10,12,23,40
2019-02-02,8,13,33,49
2019-02-03,9,14,66,35
2019-02-04,9,15,38,70
2019-02-05,6,9,36,18
2019-02-06,7,15,39,32
2019-02-07,7,14,13,33
2019-02-08,9,24,8,16
2019-02-09,9,19,10,20
2019-02-10,4,8,8,33
2019-02-11,10,18,61,91
2019-02-12,9,17,109,40
2019-02-13,13,23,38,No data
2019-02-14,21,29,60,19
2019-02-15,25,34,51,21
2019-02-16,16,30,35,12
2019-02-17,16,32,12,12
2019-02-18,9,22,15,39
2019-02-19,9,19,79,41
2019-02-20,9,22,32,12
2019-02-21,14,24,35,15
2019-02-22,32,39,31,20
2019-02-23,39,49,41,31
2019-02-24,39,42,48,43
2019-02-25,29,36,82,61
2019-02-26,34,42,79,49
2019-02-27,49,58,98,40
2019-02-28,10,19,11,31
2019-03-01,10,22,21,29
2019-03-02,10,21,10,19
2019-03-03,9,22,8,13
2019-03-04,5,11,12,45
2019-03-05,7,19,20,35
2019-03-06,9,22,16,24
2019-03-07,6,14,11,34
2019-03-08,8,17,49,52
2019-03-09,12,27,17,34
2019-03-10,8,17,6,16
2019-03-11,8,17,17,27
2019-03-12,7,17,8,27
2019-03-13,10,21,8,28
2019-03-14,5,9,5,19
2019-03-15,9,16,9,18
2019-03-16,9,20,7,16
2019-03-17,5,11,9,27
2019-03-18,6,11,22,63
2019-03-19,7,13,18,41
2019-03-20,6,5,15,41
2019-03-21,6,7,23,29
2019-03-22,10,13,25,33
2019-03-23,10,13,21,20
2019-03-24,10,14,14,32
2019-03-25,10,19,25,41
2019-03-26,11,19,36,75
2019-03-27,12,17,35,57
2019-03-28,16,19,44,63
2019-03-29,27,30,88,86
2019-03-30,25,29,22,51
2019-03-31,37,43,21,14
2019-04-01,18,29,34,30
2019-04-02,9,13,14,44
2019-04-03,5,7,21,53
2019-04-04,4,7,19,26
2019-04-05,6,9,34,27
2019-04-06,23,27,20,17
2019-04-07,21,24,15,11
2019-04-08,14,18,27,16
2019-04-09,20,24,29,24
2019-04-10,22,28,21,39
2019-04-11,16,25,41,25
2019-04-12,20,28,54,21
2019-04-13,19,26,25,14
2019-04-14,13,19,12,10
2019-04-15,27,38,21,15
2019-04-16,15,22,22,32
2019-04-17,26,29,22,14
2019-04-18,31,36,25,14
2019-04-19,25,31,40,23
2019-04-20,24,29,68,45
2019-04-21,24,28,35,37
2019-04-22,40,45,36,18
2019-04-23,26,37,31,19
2019-04-24,10,17,23,15
2019-04-25,6,13,17,11
2019-04-26,7,16,13,21
2019-04-27,9,19,6,11
2019-04-28,7,11,15,21
2019-04-29,10,15,27,17
2019-04-30,21,26,26,19
2019-05-01,23,27,37,41
2019-05-02,7,11,24,45
