Date,NOx_1,NOx_2,PM2.5_1,PM10_1,PM10_2
2019-01-01,18,44,7,11,15
2019-01-02,36,58,7,12,17
2019-01-03,44,51,10,14,19
2019-01-04,67,95,22,26,35
2019-01-05,34,64,19,24,29
2019-01-06,34,72,17,24,29
2019-01-07,16,58,7,14,18
2019-01-08,28,60,6,16,27
2019-01-09,38,83,7,14,25
2019-01-10,48,98,20,26,35
2019-01-11,46,94,13,18,22
2019-01-12,12,38,4,10,11
2019-01-13,8,25,3,8,10
2019-01-14,31,56,5,12,24
2019-01-15,18,67,3,8,14
2019-01-16,25,55,4,11,16
2019-01-17,39,85,4,9,18
2019-01-18,46,49,6,14,23
2019-01-19,13,25,8,15,17
2019-01-20,35,62,18,22,28
2019-01-21,138,105,28,35,38
2019-01-22,37,80,5,10,15
2019-01-23,49,70,8,12,17
2019-01-24,241,193,25,32,31
2019-01-25,100,116,18,25,No data
2019-01-26,10,43,2,9,No data
2019-01-27,7,33,2,11,No data
2019-01-28,80,110,6,13,No data
2019-01-29,109,86,10,18,17
2019-01-30,99,129,7,13,23
2019-01-31,69,50,9,17,19
2019-02-01,35,64,7,12,16
2019-02-02,20,42,9,14,22
2019-02-03,26,74,5,11,19
2019-02-04,24,57,4,13,16
2019-02-05,20,46,6,13,14
2019-02-06,28,67,4,12,14
2019-02-07,11,42,3,15,23
2019-02-08,9,32,4,16,23
2019-02-09,8,42,5,17,27
2019-02-10,13,48,1,7,10
2019-02-11,72,79,No data,No data,No data
2019-02-12,169,108,No data,No data,No data
2019-02-13,36,65,No data,No data,No data
2019-02-14,54,58,No data,No data,No data
2019-02-15,75,87,No data,42,39
2019-02-16,60,85,No data,40,39
2019-02-17,27,58,No data,34,40
2019-02-18,36,90,No data,17,21
2019-02-19,107,84,7,17,25
2019-02-20,22,68,9,18,24
2019-02-21,23,76,12,22,30
2019-02-22,17,26,15,20,20
2019-02-23,49,54,33,42,42
2019-02-24,40,44,21,28,28
2019-02-25,No data,63,19,28,31
2019-02-26,No data,73,21,34,38
2019-02-27,108,105,36,48,53
2019-02-28,23,63,16,29,33
2019-03-01,24,76,10,18,29
2019-03-02,10,42,5,18,26
2019-03-03,10,31,5,17,28
2019-03-04,10,41,1,9,15
2019-03-05,14,48,2,11,19
2019-03-06,13,39,4,19,25
2019-03-07,7,32,2,9,17
2019-03-08,18,56,3,13,19
2019-03-09,11,47,7,20,31
2019-03-10,5,24,2,12,18
2019-03-11,14,48,No data,12,21
2019-03-12,10,34,No data,13,20
2019-03-13,8,35,No data,16,24
2019-03-14,8,31,3,12,16
2019-03-15,5,32,7,17,22
2019-03-16,7,26,7,18,25
2019-03-17,8,36,2,5,12
2019-03-18,27,No data,7,10,No data
2019-03-19,27,No data,9,12,No data
2019-03-20,16,67,6,9,13
2019-03-21,26,77,10,11,15
2019-03-22,20,70,10,12,17
2019-03-23,21,35,15,21,25
2019-03-24,20,40,8,13,19
2019-03-25,29,59,8,13,19
2019-03-26,48,81,12,18,26
2019-03-27,37,66,11,16,20
2019-03-28,83,97,22,27,32
2019-03-29,77,58,33,41,42
2019-03-30,58,79,48,55,54
2019-03-31,16,20,26,35,38
2019-04-01,33,41,13,23,31
2019-04-02,32,65,12,20,25
2019-04-03,27,61,5,9,14
2019-04-04,10,28,3,8,14
2019-04-05,16,20,6,14,21
2019-04-06,19,23,23,27,29
2019-04-07,17,36,43,48,50
2019-04-08,41,49,37,46,45
2019-04-09,40,59,23,29,32
2019-04-10,19,25,11,20,27
2019-04-11,20,40,9,16,23
2019-04-12,19,25,14,19,23
2019-04-13,17,18,13,18,20
2019-04-14,11,14,15,19,23
2019-04-15,18,18,27,34,38
2019-04-16,33,71,37,44,48
2019-04-17,42,45,40,47,50
2019-04-18,30,28,34,41,46
2019-04-19,21,36,19,27,32
2019-04-20,17,30,20,25,30
2019-04-21,15,33,22,29,33
2019-04-22,29,32,37,45,49
2019-04-23,44,59,21,31,35
2019-04-24,25,43,15,25,31
2019-04-25,10,40,4,11,17
2019-04-26,10,44,4,11,18
2019-04-27,5,31,4,14,23
2019-04-28,13,41,6,11,17
2019-04-29,23,34,9,13,17
2019-04-30,24,30,14,19,21
2019-05-01,24,43,14,20,25
2019-05-02,15,43,4,11,14
2019-05-03,18,54,7,11,15
2019-05-04,13,36,4,9,16
2019-05-05,10,45,6,11,18
2019-05-06,9,43,5,9,15
2019-05-07,22,25,9,14,19
2019-05-08,14,37,6,16,25
2019-05-09,18,47,6,11,16
2019-05-10,19,53,5,12,18
2019-05-11,18,35,11,17,19
2019-05-12,17,30,9,12,17
2019-05-13,18,18,6,11,17
2019-05-14,19,15,4,10,15
2019-05-15,18,19,10,15,22
2019-05-16,20,18,11,16,22
2019-05-17,29,61,11,19,27
2019-05-18,20,47,No data,25,30
2019-05-19,21,46,No data,23,24
2019-05-20,23,62,No data,22,25
2019-05-21,17,51,No data,11,14
2019-05-22,24,47,No data,12,15
2019-05-23,33,43,No data,15,16
2019-05-24,17,49,No data,14,17
2019-05-25,13,44,No data,14,15
2019-05-26,8,36,No data,11,11
2019-05-27,9,33,No data,11,13
2019-05-28,16,30,No data,6,10
2019-05-29,13,43,6,11,12
2019-05-30,9,35,9,14,19
2019-05-31,14,47,4,8,9
2019-06-01,31,34,8,12,No data
2019-06-02,17,39,11,18,No data
2019-06-03,12,37,7,14,No data
2019-06-04,20,30,8,14,No data
2019-06-05,9,33,3,9,13
2019-06-06,10,27,No data,9,15
2019-06-07,17,24,No data,9,17
2019-06-08,5,28,No data,9,22
2019-06-09,11,30,No data,9,15
2019-06-10,23,43,No data,7,10
2019-06-11,11,29,No data,5,7
2019-06-12,19,43,3,8,11
2019-06-13,15,35,2,8,17
2019-06-14,11,38,6,8,17
2019-06-15,12,34,5,8,15
2019-06-16,11,32,5,9,18
2019-06-17,12,42,5,8,15
2019-06-18,28,43,11,12,13
2019-06-19,21,50,15,19,21
2019-06-20,9,35,4,9,15
2019-06-21,16,40,4,7,12
2019-06-22,16,20,6,10,15
2019-06-23,15,13,15,19,25
2019-06-24,23,45,No data,No data,21
2019-06-25,23,52,9,13,15
2019-06-26,17,24,13,20,22
2019-06-27,17,16,6,14,18
2019-06-28,16,12,8,16,21
2019-06-29,17,29,11,20,30
2019-06-30,7,35,6,9,15
2019-07-01,13,26,4,8,14
2019-07-02,14,41,5,10,13
2019-07-03,14,21,5,10,12
2019-07-04,16,31,5,10,13
2019-07-05,23,58,8,15,19
2019-07-06,14,44,6,11,11
2019-07-07,12,22,6,8,9
2019-07-08,21,26,4,8,11
2019-07-09,20,37,6,11,15
2019-07-10,24,52,7,12,13
2019-07-11,17,45,6,11,11
2019-07-12,14,42,3,7,6
2019-07-13,11,29,4,7,7
