Date,NOx,PM10,PM2.5
2019-01-01,40,No data,11
2019-01-02,137,No data,15
2019-01-03,70,No data,22
2019-01-04,89,No data,29
2019-01-05,37,No data,11
2019-01-06,47,No data,12
2019-01-07,20,No data,8
2019-01-08,54,No data,10
2019-01-09,144,No data,13
2019-01-10,88,No data,No data
2019-01-11,54,No data,No data
2019-01-12,10,No data,No data
2019-01-13,7,No data,No data
2019-01-14,25,No data,No data
2019-01-15,23,No data,5
2019-01-16,32,No data,5
2019-01-17,88,No data,9
2019-01-18,45,No data,10
2019-01-19,36,No data,18
2019-01-20,62,No data,32
2019-01-21,58,No data,19
2019-01-22,79,No data,8
2019-01-23,160,No data,20
2019-01-24,158,No data,32
2019-01-25,21,No data,6
2019-01-26,16,No data,No data
2019-01-27,11,No data,No data
2019-01-28,70,No data,No data
2019-01-29,56,No data,8
2019-01-30,101,No data,13
2019-01-31,55,No data,18
2019-02-01,65,No data,11
2019-02-02,90,No data,13
2019-02-03,46,No data,13
2019-02-04,35,No data,7
2019-02-05,45,No data,14
2019-02-06,46,No data,10
2019-02-07,28,No data,7
2019-02-08,13,No data,5
2019-02-09,16,No data,8
2019-02-10,26,No data,5
2019-02-11,97,No data,8
2019-02-12,49,No data,9
2019-02-13,42,No data,10
2019-02-14,55,No data,18
2019-02-15,52,No data,26
2019-02-16,19,No data,9
2019-02-17,14,No data,13
2019-02-18,19,No data,6
2019-02-19,26,No data,6
2019-02-20,No data,No data,No data
2019-02-21,No data,No data,No data
2019-02-22,51,No data,15
2019-02-23,37,No data,29
2019-02-24,33,No data,31
2019-02-25,61,No data,31
2019-02-26,74,No data,22
2019-02-27,100,No data,40
2019-02-28,72,No data,45
2019-03-01,52,No data,30
2019-03-02,18,No data,10
2019-03-03,12,No data,6
2019-03-04,15,No data,5
2019-03-05,26,No data,6
2019-03-06,17,No data,5
2019-03-07,17,No data,4
2019-03-08,41,No data,7
2019-03-09,15,No data,6
2019-03-10,14,No data,5
2019-03-11,16,No data,5
2019-03-12,15,No data,4
2019-03-13,11,No data,8
2019-03-14,13,No data,6
2019-03-15,15,No data,6
2019-03-16,13,No data,4
2019-03-17,11,No data,3
2019-03-18,30,No data,6
2019-03-19,27,No data,9
2019-03-20,32,No data,9
2019-03-21,29,No data,9
2019-03-22,19,No data,7
2019-03-23,27,No data,8
2019-03-24,20,No data,9
2019-03-25,27,No data,8
2019-03-26,30,No data,9
2019-03-27,28,No data,9
2019-03-28,42,No data,18
2019-03-29,59,No data,19
2019-03-30,39,No data,21
2019-03-31,22,No data,5
2019-04-01,33,No data,11
2019-04-02,30,No data,5
2019-04-03,40,No data,8
2019-04-04,21,No data,15
2019-04-05,25,No data,13
2019-04-06,23,No data,28
2019-04-07,17,No data,28
2019-04-08,16,No data,29
2019-04-09,17,No data,13
2019-04-10,24,No data,9
2019-04-11,32,No data,10
2019-04-12,25,No data,11
2019-04-13,20,No data,13
2019-04-14,19,No data,11
2019-04-15,20,No data,26
2019-04-16,32,No data,34
2019-04-17,23,No data,28
2019-04-18,29,No data,45
2019-04-19,28,No data,29
2019-04-20,35,No data,32
2019-04-21,29,No data,30
2019-04-22,24,No data,37
2019-04-23,24,No data,30
2019-04-24,23,No data,23
2019-04-25,25,No data,12
2019-04-26,20,No data,5
2019-04-27,14,No data,5
2019-04-28,24,No data,7
2019-04-29,33,No data,13
2019-04-30,32,No data,23
2019-05-01,31,No data,14
2019-05-02,32,No data,6
2019-05-03,34,No data,7
2019-05-04,25,No data,5
2019-05-05,27,No data,7
2019-05-06,23,No data,4
2019-05-07,40,No data,11
2019-05-08,27,No data,11
2019-05-09,32,No data,7
2019-05-10,40,No data,9
2019-05-11,35,No data,10
2019-05-12,29,No data,7
2019-05-13,36,No data,14
2019-05-14,35,No data,14
2019-05-15,29,No data,15
2019-05-16,21,No data,12
2019-05-17,25,No data,10
2019-05-18,21,No data,8
2019-05-19,23,No data,10
2019-05-20,29,No data,9
2019-05-21,25,No data,6
2019-05-22,31,No data,10
2019-05-23,30,No data,11
2019-05-24,23,No data,9
2019-05-25,18,No data,9
2019-05-26,13,No data,6
2019-05-27,15,No data,6
2019-05-28,28,No data,5
2019-05-29,30,No data,7
2019-05-30,16,No data,7
2019-05-31,16,No data,4
2019-06-01,27,No data,9
2019-06-02,15,No data,8
2019-06-03,15,No data,6
2019-06-04,30,No data,6
2019-06-05,29,No data,5
2019-06-06,35,No data,6
2019-06-07,31,No data,9
2019-06-08,17,No data,4
2019-06-09,15,No data,4
2019-06-10,24,No data,7
2019-06-11,31,No data,4
2019-06-12,40,No data,4
2019-06-13,29,No data,3
2019-06-14,28,No data,5
2019-06-15,22,No data,6
2019-06-16,13,No data,5
2019-06-17,15,No data,4
2019-06-18,20,No data,6
2019-06-19,23,No data,6
2019-06-20,16,No data,5
2019-06-21,23,No data,5
2019-06-22,23,No data,9
2019-06-23,14,No data,10
2019-06-24,26,No data,No data
2019-06-25,26,10,6
2019-06-26,19,9,5
2019-06-27,22,13,6
2019-06-28,22,19,9
2019-06-29,25,25,15
2019-06-30,9,11,5
2019-07-01,13,13,5
2019-07-02,20,9,4
2019-07-03,27,11,6
2019-07-04,18,9,4
2019-07-05,16,9,4
2019-07-06,12,9,5
2019-07-07,14,11,6
2019-07-08,18,14,6
2019-07-09,18,12,8
2019-07-10,No data,11,6
2019-07-11,No data,8,4
2019-07-12,17,7,4
2019-07-13,14,9,5
2019-07-14,15,8,4
2019-07-15,22,12,7
2019-07-16,25,14,8
2019-07-17,24,14,7
2019-07-18,16,10,4
2019-07-19,21,9,5
2019-07-20,12,9,4
2019-07-21,11,6,3
2019-07-22,9,9,4
2019-07-23,21,13,6
2019-07-24,16,11,7
2019-07-25,23,17,8
2019-07-26,24,12,6
2019-07-27,21,6,3
2019-07-28,12,5,2
2019-07-29,17,6,3
2019-07-30,26,11,6
2019-07-31,18,10,5
2019-08-01,25,11,6
2019-08-02,22,8,5
2019-08-03,15,17,9
2019-08-04,15,13,8
2019-08-05,13,10,5
2019-08-06,12,11,5
2019-08-07,13,9,4
2019-08-08,21,9,5
2019-08-09,13,7,4
2019-08-10,7,9,4
2019-08-11,10,9,4
2019-08-12,20,8,4
2019-08-13,28,7,4
2019-08-14,24,6,4
2019-08-15,15,11,5
2019-08-16,17,7,4
2019-08-17,9,13,6
2019-08-18,9,14,6
2019-08-19,13,15,6
2019-08-20,16,13,7
2019-08-21,18,9,4
2019-08-22,15,9,5
2019-08-23,26,8,5
2019-08-24,30,16,9
2019-08-25,18,27,17
2019-08-26,29,25,19
2019-08-27,37,19,13
2019-08-28,27,9,5
2019-08-29,17,12,6
2019-08-30,14,15,8
2019-08-31,13,8,4
2019-09-01,13,9,4
2019-09-02,18,9,4
2019-09-03,17,9,4
2019-09-04,13,11,5
2019-09-05,20,12,5
2019-09-06,14,12,5
2019-09-07,29,7,3
2019-09-08,27,9,5
2019-09-09,48,9,7
2019-09-10,40,10,5
2019-09-11,16,11,5
2019-09-12,22,9,4
2019-09-13,51,12,6
2019-09-14,28,12,6
2019-09-15,19,11,6
2019-09-16,41,10,6
2019-09-17,40,13,7
2019-09-18,49,15,8
2019-09-19,52,17,11
2019-09-20,33,16,8
2019-09-21,24,19,9
2019-09-22,26,18,12
2019-09-23,23,7,3
2019-09-24,35,9,5
2019-09-25,34,10,6
2019-09-26,17,10,5
2019-09-27,20,8,4
2019-09-28,15,8,3
2019-09-29,31,4,3
2019-09-30,43,8,4
2019-10-01,34,4,2
2019-10-02,78,8,4
2019-10-03,44,11,6
2019-10-04,24,9,5
2019-10-05,25,9,6
2019-10-06,25,7,4
2019-10-07,25,11,7
2019-10-08,14,17,7
2019-10-09,18,16,7
2019-10-10,18,15,7
2019-10-11,21,11,5
2019-10-12,29,10,5
2019-10-13,27,8,5
2019-10-14,43,13,6
2019-10-15,43,9,6
2019-10-16,27,10,5
2019-10-17,28,8,4
2019-10-18,36,6,4
2019-10-19,31,7,5
2019-10-20,27,6,3
2019-10-21,55,9,5
2019-10-22,34,10,5
2019-10-23,28,15,10
2019-10-24,31,15,11
2019-10-25,64,8,5
2019-10-26,31,6,3
2019-10-27,39,13,7
2019-10-28,56,17,8
2019-10-29,38,11,6
2019-10-30,29,12,7
2019-10-31,33,24,18
2019-11-01,30,7,5
2019-11-02,49,15,12
2019-11-03,43,23,20
2019-11-04,53,18,14
2019-11-05,59,37,30
2019-11-06,70,35,28
2019-11-07,35,9,7
2019-11-08,61,10,5
2019-11-09,31,12,7
2019-11-10,46,11,7
2019-11-11,15,15,7
2019-11-12,26,10,4
2019-11-13,66,10,7
2019-11-14,23,7,4
2019-11-15,34,7,4
2019-11-16,60,11,7
2019-11-17,74,10,8
2019-11-18,163,14,10
2019-11-19,59,18,13
2019-11-20,29,14,10
2019-11-21,30,22,17
2019-11-22,37,14,11
2019-11-23,30,11,9
2019-11-24,49,24,20
2019-11-25,36,10,8
2019-11-26,35,11,7
2019-11-27,45,16,10
2019-11-28,69,8,5
2019-11-29,128,16,11
2019-11-30,36,13,9
2019-12-01,142,18,14
2019-12-02,174,19,14
2019-12-03,86,15,11
2019-12-04,50,15,11
2019-12-05,26,8,4
2019-12-06,19,9,5
2019-12-07,20,9,4
2019-12-08,10,18,8
2019-12-09,59,15,7
2019-12-10,20,12,6
2019-12-11,38,13,6
2019-12-12,34,7,4
2019-12-13,23,12,6
2019-12-14,13,15,7
2019-12-15,19,6,3
2019-12-16,46,11,6
2019-12-17,110,17,13
2019-12-18,40,9,7
2019-12-19,22,7,4
2019-12-20,38,10,6
2019-12-21,32,10,8
2019-12-22,37,14,10
2019-12-23,No data,18,8
2019-12-24,25,8,5
2019-12-25,32,15,9
2019-12-26,23,12,10
2019-12-27,34,13,12
2019-12-28,21,13,10
2019-12-29,24,13,11
2019-12-30,61,17,13
2019-12-31,36,15,11
2020-01-01,41,29,24
2020-01-02,22,10,7
2020-01-03,24,17,8
2020-01-04,18,14,6
2020-01-05,18,4,3
2020-01-06,22,14,7
2020-01-07,22,10,6
2020-01-08,36,27,13
2020-01-09,38,7,4
2020-01-10,70,11,6
2020-01-11,12,4,2
2020-01-12,25,8,5
2020-01-13,17,8,4
2020-01-14,24,8,4
2020-01-15,25,14,6
2020-01-16,18,9,5
2020-01-17,33,12,6
2020-01-18,57,16,8
2020-01-19,94,20,16
2020-01-20,67,15,9
2020-01-21,58,17,12
2020-01-22,49,17,13
2020-01-23,52,13,10
2020-01-24,38,11,8
2020-01-25,29,18,14
2020-01-26,27,17,11
2020-01-27,36,8,4
2020-01-28,20,12,5
2020-01-29,18,18,8
2020-01-30,26,12,6
2020-01-31,22,6,3
2020-02-01,20,21,10
2020-02-02,22,13,8
2020-02-03,No data,No data,No data
2020-02-04,No data,No data,No data
2020-02-05,105,21,13
2020-02-06,93,23,16
2020-02-07,45,23,17
2020-02-08,15,12,6
2020-02-09,9,11,5
2020-02-10,15,20,8
2020-02-11,11,20,9
2020-02-12,27,16,7
2020-02-13,69,10,7
2020-02-14,44,14,9
2020-02-15,15,9,5
2020-02-16,9,13,6
2020-02-17,18,19,9
