Date,PM2.5,PM10,NOx
2019-01-01,8,15,25
2019-01-02,13,23,154
2019-01-03,21,30,58
2019-01-04,31,41,76
2019-01-05,16,22,59
2019-01-06,18,28,68
2019-01-07,10,18,27
2019-01-08,12,25,69
2019-01-09,10,18,165
2019-01-10,38,51,256
2019-01-11,23,29,244
2019-01-12,6,11,13
2019-01-13,7,15,10
2019-01-14,8,18,32
2019-01-15,4,8,35
2019-01-16,3,7,29
2019-01-17,8,16,153
2019-01-18,9,15,95
2019-01-19,14,16,39
2019-01-20,26,29,82
2019-01-21,17,20,59
2019-01-22,8,12,68
2019-01-23,20,23,164
2019-01-24,28,37,205
2019-01-25,7,11,30
2019-01-26,3,5,18
2019-01-27,5,11,22
2019-01-28,5,12,No data
2019-01-29,9,13,58
2019-01-30,15,19,93
2019-01-31,14,18,74
2019-02-01,11,16,49
2019-02-02,13,19,131
2019-02-03,12,15,96
2019-02-04,5,10,56
2019-02-05,12,16,94
2019-02-06,10,17,47
2019-02-07,5,9,25
2019-02-08,4,8,15
2019-02-09,7,14,13
2019-02-10,5,8,24
2019-02-11,8,12,137
2019-02-12,8,13,60
2019-02-13,9,15,26
2019-02-14,20,30,139
2019-02-15,25,35,60
2019-02-16,10,17,13
2019-02-17,14,23,13
2019-02-18,8,18,21
2019-02-19,6,14,23
2019-02-20,7,12,25
2019-02-21,9,15,36
2019-02-22,17,31,98
2019-02-23,36,46,71
2019-02-24,42,51,84
2019-02-25,30,47,157
2019-02-26,29,62,173
2019-02-27,41,64,181
2019-02-28,48,60,137
2019-03-01,26,33,45
2019-03-02,8,13,15
2019-03-03,7,14,16
2019-03-04,4,10,15
2019-03-05,5,11,21
2019-03-06,3,6,18
2019-03-07,4,9,28
2019-03-08,7,13,47
2019-03-09,7,14,18
2019-03-10,5,10,17
2019-03-11,6,14,18
2019-03-12,4,8,17
2019-03-13,10,20,13
2019-03-14,7,14,16
2019-03-15,5,11,14
2019-03-16,4,9,12
2019-03-17,4,10,14
2019-03-18,7,12,32
2019-03-19,10,13,36
2019-03-20,6,12,39
2019-03-21,11,30,27
2019-03-22,7,18,19
2019-03-23,8,16,29
2019-03-24,11,19,34
2019-03-25,9,22,35
2019-03-26,12,21,55
2019-03-27,9,17,58
2019-03-28,20,31,119
2019-03-29,22,34,94
2019-03-30,23,30,43
2019-03-31,5,11,12
2019-04-01,11,21,25
2019-04-02,5,9,32
2019-04-03,6,9,41
2019-04-04,11,16,25
2019-04-05,10,15,26
2019-04-06,20,24,23
2019-04-07,28,32,20
2019-04-08,33,45,30
2019-04-09,15,24,21
2019-04-10,9,18,31
2019-04-11,7,16,38
2019-04-12,10,19,42
2019-04-13,9,17,19
2019-04-14,9,15,15
2019-04-15,27,44,18
2019-04-16,40,56,47
2019-04-17,32,45,35
2019-04-18,48,62,42
2019-04-19,26,38,29
2019-04-20,25,35,49
2019-04-21,22,30,31
2019-04-22,27,38,25
2019-04-23,35,55,38
2019-04-24,23,41,35
2019-04-25,5,10,26
2019-04-26,5,9,20
2019-04-27,4,9,11
2019-04-28,6,10,21
2019-04-29,9,14,48
2019-04-30,18,26,42
2019-05-01,14,19,35
2019-05-02,6,9,30
2019-05-03,6,10,44
2019-05-04,4,9,17
2019-05-05,7,11,18
2019-05-06,4,6,15
2019-05-07,10,15,34
2019-05-08,9,11,26
2019-05-09,5,7,32
2019-05-10,7,11,34
2019-05-11,9,12,24
2019-05-12,6,10,33
2019-05-13,10,16,34
2019-05-14,10,18,37
2019-05-15,10,17,27
2019-05-16,8,18,22
2019-05-17,7,15,25
2019-05-18,6,10,17
2019-05-19,7,10,14
2019-05-20,9,15,29
2019-05-21,5,11,22
2019-05-22,8,14,29
2019-05-23,11,19,23
2019-05-24,9,17,20
2019-05-25,7,11,14
2019-05-26,5,9,8
2019-05-27,4,9,7
2019-05-28,3,7,25
2019-05-29,5,11,26
2019-05-30,6,10,18
2019-05-31,4,8,16
2019-06-01,5,9,16
2019-06-02,6,11,10
2019-06-03,5,13,13
2019-06-04,6,10,32
2019-06-05,3,7,22
2019-06-06,5,9,37
2019-06-07,7,12,47
2019-06-08,8,11,19
2019-06-09,5,8,25
2019-06-10,6,10,44
2019-06-11,3,7,25
2019-06-12,2,5,42
2019-06-13,2,4,32
2019-06-14,4,7,24
2019-06-15,5,8,21
2019-06-16,4,7,8
2019-06-17,3,6,16
2019-06-18,6,10,21
2019-06-19,5,9,27
2019-06-20,4,9,19
2019-06-21,4,8,22
2019-06-22,5,10,22
2019-06-23,8,14,14
2019-06-24,17,23,32
2019-06-25,9,12,33
2019-06-26,5,10,29
2019-06-27,6,13,27
2019-06-28,10,20,24
2019-06-29,12,23,19
2019-06-30,5,9,7
2019-07-01,4,12,11
2019-07-02,5,11,23
2019-07-03,7,15,30
2019-07-04,6,11,21
