Date,NOx_1,NOx_2,NOx_3,PM10_2,PM10_3,PM2.5_1,PM2.5_2,PM2.5_3
2019-01-01,65,19,13,12,No data,12,8,No data
2019-01-02,122,33,26,17,No data,14,9,No data
2019-01-03,146,36,No data,23,No data,23,18,No data
2019-01-04,153,61,No data,27,No data,24,22,No data
2019-01-05,70,21,No data,16,No data,14,12,No data
2019-01-06,110,26,No data,16,No data,15,12,No data
2019-01-07,59,16,No data,13,No data,11,9,No data
2019-01-08,64,16,40,14,No data,11,9,No data
2019-01-09,100,30,40,16,No data,13,11,No data
2019-01-10,128,81,112,14,No data,12,13,No data
2019-01-11,116,36,79,12,No data,10,10,No data
2019-01-12,30,12,19,8,No data,5,5,No data
2019-01-13,18,7,10,9,No data,6,6,No data
2019-01-14,89,19,57,14,No data,9,8,No data
2019-01-15,68,18,47,8,No data,7,6,No data
2019-01-16,92,25,56,8,No data,No data,7,No data
2019-01-17,85,63,81,No data,No data,No data,No data,No data
2019-01-18,171,85,96,No data,No data,No data,No data,No data
2019-01-19,108,50,33,No data,No data,No data,No data,No data
2019-01-20,155,80,86,No data,No data,No data,No data,No data
2019-01-21,104,51,74,No data,No data,No data,No data,No data
2019-01-22,150,30,109,12,No data,13,8,No data
2019-01-23,198,95,172,18,No data,16,13,No data
2019-01-24,244,92,174,21,No data,23,16,No data
2019-01-25,79,23,57,11,No data,9,8,No data
2019-01-26,69,24,31,9,No data,7,6,No data
2019-01-27,26,9,13,8,No data,No data,5,No data
2019-01-28,No data,No data,63,No data,No data,No data,No data,No data
2019-01-29,No data,No data,74,No data,No data,No data,No data,No data
2019-01-30,188,51,142,15,No data,15,13,No data
2019-01-31,224,138,153,33,No data,34,30,No data
2019-02-01,87,42,30,21,No data,19,18,No data
2019-02-02,80,30,39,14,No data,10,11,No data
2019-02-03,114,84,58,17,No data,10,13,No data
2019-02-04,113,42,78,12,No data,9,9,No data
2019-02-05,218,96,115,22,No data,21,18,No data
2019-02-06,163,54,84,20,No data,15,13,No data
2019-02-07,81,29,50,10,No data,9,7,No data
2019-02-08,49,19,27,10,No data,5,7,No data
2019-02-09,45,15,19,14,No data,8,8,No data
2019-02-10,76,26,41,10,No data,8,8,No data
2019-02-11,153,52,107,14,No data,12,10,No data
2019-02-12,98,36,75,14,No data,12,11,No data
2019-02-13,73,23,46,17,No data,No data,11,No data
2019-02-14,150,61,88,30,No data,No data,23,No data
2019-02-15,161,54,92,35,No data,28,28,No data
2019-02-16,56,27,29,21,No data,15,15,No data
2019-02-17,59,25,27,27,No data,21,20,No data
2019-02-18,51,17,43,18,No data,10,10,No data
2019-02-19,58,21,51,14,No data,8,8,No data
2019-02-20,52,23,40,17,No data,11,12,No data
2019-02-21,160,38,71,17,No data,16,13,No data
2019-02-22,228,104,83,36,No data,29,25,No data
2019-02-23,144,76,72,46,No data,45,40,No data
2019-02-24,187,124,131,69,No data,74,63,No data
2019-02-25,336,187,227,51,No data,54,40,No data
2019-02-26,375,220,204,53,No data,49,37,No data
2019-02-27,318,178,229,56,No data,52,44,No data
2019-02-28,166,118,156,62,No data,55,52,No data
2019-03-01,147,62,81,32,No data,33,28,No data
2019-03-02,49,21,26,15,No data,11,11,No data
2019-03-03,47,22,23,16,No data,10,9,No data
2019-03-04,54,17,42,9,No data,8,6,No data
2019-03-05,69,30,44,15,No data,9,8,No data
2019-03-06,74,No data,39,10,No data,9,7,No data
2019-03-07,56,19,39,8,No data,10,6,No data
2019-03-08,80,34,71,14,No data,11,9,No data
2019-03-09,51,23,29,13,No data,9,8,No data
2019-03-10,55,22,24,10,No data,9,7,No data
2019-03-11,47,17,35,12,No data,7,7,No data
2019-03-12,56,18,46,9,No data,7,6,No data
2019-03-13,32,11,25,13,No data,10,9,No data
2019-03-14,36,14,30,11,No data,7,7,No data
2019-03-15,39,18,29,12,No data,7,7,No data
2019-03-16,39,21,18,12,No data,7,8,No data
2019-03-17,34,13,21,8,No data,5,6,No data
2019-03-18,89,24,68,12,No data,9,8,No data
2019-03-19,102,33,79,14,No data,12,10,No data
2019-03-20,108,42,57,17,No data,15,11,No data
2019-03-21,112,41,82,24,No data,16,15,No data
2019-03-22,52,19,38,16,No data,12,11,No data
2019-03-23,70,18,24,17,No data,12,9,No data
2019-03-24,42,19,32,15,No data,10,9,No data
2019-03-25,75,20,32,16,No data,11,8,No data
2019-03-26,77,26,72,17,No data,10,10,No data
2019-03-27,No data,25,52,16,No data,12,11,No data
2019-03-28,No data,66,111,22,No data,17,16,No data
2019-03-29,No data,69,91,29,No data,26,23,No data
2019-03-30,No data,50,62,40,No data,36,34,No data
2019-03-31,No data,17,12,15,No data,10,9,No data
2019-04-01,No data,37,52,23,No data,16,13,No data
2019-04-02,73,22,50,12,No data,10,9,No data
2019-04-03,99,34,67,15,No data,14,12,No data
2019-04-04,67,29,21,20,No data,19,16,No data
2019-04-05,85,39,20,20,No data,20,17,No data
2019-04-06,68,27,17,28,No data,27,25,No data
2019-04-07,46,18,16,43,No data,41,38,No data
2019-04-08,49,21,17,47,No data,40,38,No data
2019-04-09,57,24,20,29,No data,20,19,No data
2019-04-10,79,27,23,21,No data,14,12,No data
2019-04-11,86,37,65,18,No data,12,11,No data
2019-04-12,99,43,No data,23,No data,15,13,No data
2019-04-13,83,32,No data,19,No data,14,15,No data
2019-04-14,59,33,No data,18,No data,16,17,No data
2019-04-15,58,28,No data,36,No data,27,28,No data
2019-04-16,83,33,27,No data,No data,36,34,No data
2019-04-17,65,26,21,48,No data,37,36,No data
2019-04-18,84,40,32,58,No data,51,50,No data
2019-04-19,84,33,35,48,No data,39,38,No data
2019-04-20,101,55,52,40,No data,30,34,No data
2019-04-21,104,54,35,29,No data,29,26,No data
