Date,Nox,PM2.5,PM10
2019-01-01,12,7,No data
2019-01-02,18,8,No data
2019-01-03,32,15,No data
2019-01-04,37,24,No data
2019-01-05,25,21,No data
2019-01-06,28,17,No data
2019-01-07,32,11,No data
2019-01-08,13,6,No data
2019-01-09,16,7,No data
2019-01-10,53,22,No data
2019-01-11,36,15,No data
2019-01-12,22,6,No data
2019-01-13,10,4,No data
2019-01-14,28,7,No data
2019-01-15,34,6,No data
2019-01-16,18,5,No data
2019-01-17,24,7,No data
2019-01-18,57,10,No data
2019-01-19,22,13,No data
2019-01-20,44,27,No data
2019-01-21,75,32,No data
2019-01-22,37,9,No data
2019-01-23,26,15,No data
2019-01-24,104,26,No data
2019-01-25,51,15,No data
2019-01-26,14,7,No data
2019-01-27,8,4,No data
2019-01-28,38,6,No data
2019-01-29,37,8,No data
2019-01-30,66,13,No data
2019-01-31,117,19,No data
2019-02-01,28,11,No data
2019-02-02,13,11,No data
2019-02-03,27,9,No data
2019-02-04,24,6,No data
2019-02-05,30,11,No data
2019-02-06,27,5,No data
2019-02-07,15,4,No data
2019-02-08,9,4,No data
2019-02-09,10,5,No data
2019-02-10,15,3,No data
2019-02-11,36,7,No data
2019-02-12,35,10,No data
2019-02-13,22,12,No data
2019-02-14,61,23,No data
2019-02-15,65,31,No data
2019-02-16,31,30,No data
2019-02-17,21,20,No data
2019-02-18,22,9,No data
2019-02-19,27,7,No data
2019-02-20,17,9,No data
2019-02-21,30,17,No data
2019-02-22,56,20,No data
2019-02-23,64,29,No data
2019-02-24,79,38,No data
2019-02-25,132,36,No data
2019-02-26,166,40,No data
2019-02-27,146,37,No data
2019-02-28,41,26,No data
2019-03-01,35,30,No data
2019-03-02,15,8,No data
2019-03-03,7,5,No data
2019-03-04,16,No data,No data
2019-03-05,15,No data,No data
2019-03-06,10,No data,No data
2019-03-07,13,No data,No data
2019-03-08,20,5,No data
2019-03-09,13,8,No data
2019-03-10,12,3,No data
2019-03-11,14,5,No data
2019-03-12,12,5,No data
2019-03-13,14,6,No data
2019-03-14,14,4,No data
2019-03-15,14,3,No data
2019-03-16,6,5,No data
2019-03-17,13,3,No data
2019-03-18,No data,No data,No data
2019-03-19,No data,No data,No data
2019-03-20,25,10,No data
2019-03-21,33,11,No data
2019-03-22,19,16,No data
2019-03-23,31,14,No data
2019-03-24,16,10,No data
2019-03-25,20,8,No data
2019-03-26,38,14,No data
2019-03-27,39,15,No data
2019-03-28,30,17,No data
2019-03-29,49,33,No data
2019-03-30,67,57,No data
2019-03-31,12,21,No data
2019-04-01,19,10,No data
2019-04-02,29,21,No data
2019-04-03,31,13,No data
2019-04-04,15,6,No data
2019-04-05,23,12,No data
2019-04-06,19,14,No data
2019-04-07,15,41,No data
2019-04-08,28,44,No data
2019-04-09,17,26,No data
2019-04-10,14,9,No data
2019-04-11,19,9,No data
2019-04-12,18,12,No data
2019-04-13,19,11,No data
2019-04-14,14,17,No data
2019-04-15,23,30,No data
2019-04-16,55,36,No data
2019-04-17,32,48,No data
2019-04-18,52,36,No data
2019-04-19,29,32,No data
2019-04-20,20,32,No data
2019-04-21,23,41,No data
2019-04-22,42,59,No data
2019-04-23,43,24,No data
2019-04-24,21,19,No data
2019-04-25,10,4,No data
2019-04-26,10,4,No data
2019-04-27,7,4,No data
2019-04-28,8,5,No data
2019-04-29,19,12,No data
2019-04-30,22,10,No data
2019-05-01,15,15,No data
2019-05-02,13,9,No data
2019-05-03,16,7,No data
2019-05-04,8,4,No data
2019-05-05,9,9,No data
2019-05-06,12,7,No data
2019-05-07,18,10,No data
2019-05-08,11,7,No data
2019-05-09,19,7,No data
2019-05-10,18,9,No data
2019-05-11,21,9,No data
2019-05-12,18,6,No data
2019-05-13,20,5,No data
2019-05-14,21,8,No data
2019-05-15,26,15,No data
2019-05-16,18,10,No data
2019-05-17,15,13,No data
2019-05-18,17,23,No data
2019-05-19,17,29,No data
2019-05-20,15,17,No data
2019-05-21,18,13,No data
2019-05-22,17,8,No data
2019-05-23,21,8,No data
2019-05-24,14,8,No data
2019-05-25,11,7,No data
2019-05-26,11,5,No data
2019-05-27,13,5,No data
2019-05-28,12,4,No data
2019-05-29,12,6,No data
2019-05-30,11,7,No data
2019-05-31,13,5,No data
2019-06-01,17,7,No data
2019-06-02,10,8,No data
2019-06-03,8,6,No data
2019-06-04,20,7,No data
2019-06-05,10,6,No data
2019-06-06,12,5,No data
2019-06-07,16,7,No data
2019-06-08,8,5,No data
2019-06-09,14,5,No data
2019-06-10,17,7,No data
2019-06-11,10,5,No data
2019-06-12,18,7,No data
2019-06-13,9,6,No data
2019-06-14,8,4,No data
2019-06-15,8,4,No data
2019-06-16,7,4,No data
2019-06-17,10,5,No data
2019-06-18,20,8,No data
2019-06-19,23,12,No data
2019-06-20,15,7,No data
2019-06-21,17,6,No data
2019-06-22,16,6,No data
2019-06-23,21,19,No data
2019-06-24,28,19,No data
2019-06-25,19,14,No data
2019-06-26,11,9,No data
2019-06-27,7,6,No data
2019-06-28,10,8,No data
2019-06-29,37,17,No data
2019-06-30,9,9,No data
2019-07-01,10,5,No data
2019-07-02,13,6,No data
2019-07-03,14,6,No data
2019-07-04,16,5,No data
2019-07-05,18,10,No data
2019-07-06,15,8,No data
2019-07-07,8,4,No data
2019-07-08,16,5,No data
2019-07-09,15,6,No data
2019-07-10,17,10,No data
2019-07-11,21,9,No data
2019-07-12,18,6,No data
2019-07-13,29,10,No data
2019-07-14,12,5,No data
2019-07-15,12,4,No data
2019-07-16,20,9,No data
2019-07-17,16,10,No data
2019-07-18,15,7,No data
2019-07-19,15,5,No data
2019-07-20,8,4,No data
2019-07-21,15,5,No data
2019-07-22,11,7,No data
2019-07-23,30,13,No data
2019-07-24,20,12,No data
2019-07-25,26,16,No data
2019-07-26,24,10,No data
2019-07-27,14,7,No data
2019-07-28,10,4,No data
2019-07-29,14,6,No data
2019-07-30,8,7,No data
2019-07-31,8,5,No data
2019-08-01,17,8,No data
2019-08-02,9,8,No data
2019-08-03,12,6,No data
2019-08-04,13,8,No data
2019-08-05,8,7,No data
2019-08-06,6,5,No data
2019-08-07,9,5,No data
2019-08-08,15,4,No data
2019-08-09,9,7,No data
2019-08-10,3,8,No data
2019-08-11,4,6,No data
2019-08-12,19,6,No data
2019-08-13,17,No data,No data
2019-08-14,11,No data,No data
2019-08-15,12,No data,No data
2019-08-16,12,No data,No data
2019-08-17,6,5,No data
2019-08-18,6,5,No data
2019-08-19,7,5,No data
2019-08-20,19,7,No data
2019-08-21,20,9,No data
2019-08-22,12,8,No data
2019-08-23,34,10,No data
2019-08-24,40,41,No data
2019-08-25,29,39,No data
2019-08-26,32,42,No data
2019-08-27,29,43,No data
2019-08-28,15,10,No data
2019-08-29,11,5,No data
2019-08-30,10,6,No data
2019-08-31,13,6,No data
2019-09-01,9,4,No data
2019-09-02,17,5,No data
2019-09-03,13,8,No data
2019-09-04,9,4,No data
2019-09-05,16,4,No data
2019-09-06,21,6,No data
2019-09-07,10,5,No data
2019-09-08,11,6,No data
2019-09-09,20,7,No data
2019-09-10,40,11,No data
2019-09-11,13,5,No data
2019-09-12,14,5,No data
2019-09-13,13,5,No data
2019-09-14,19,7,No data
2019-09-15,26,9,No data
2019-09-16,19,7,No data
2019-09-17,15,6,No data
2019-09-18,17,5,No data
2019-09-19,22,7,No data
2019-09-20,21,9,No data
2019-09-21,28,13,No data
2019-09-22,14,9,No data
2019-09-23,No data,No data,No data
2019-09-24,No data,4,8
2019-09-25,11,3,5
2019-09-26,8,5,9
2019-09-27,8,5,11
2019-09-28,6,4,8
2019-09-29,6,3,6
2019-09-30,20,3,7
2019-10-01,10,4,8
2019-10-02,17,3,7
2019-10-03,44,6,10
2019-10-04,23,8,14
2019-10-05,20,9,12
2019-10-06,9,6,9
2019-10-07,24,4,8
2019-10-08,14,7,14
2019-10-09,14,4,9
2019-10-10,13,5,10
2019-10-11,7,3,6
2019-10-12,15,2,4
2019-10-13,10,4,7
2019-10-14,23,6,11
2019-10-15,22,4,8
2019-10-16,23,5,10
2019-10-17,20,4,9
2019-10-18,9,5,10
2019-10-19,16,5,8
2019-10-20,23,7,10
2019-10-21,11,4,7
2019-10-22,35,8,13
2019-10-23,66,13,19
2019-10-24,41,12,17
2019-10-25,12,4,9
2019-10-26,6,5,8
2019-10-27,18,5,8
2019-10-28,30,7,11
2019-10-29,20,4,7
2019-10-30,21,12,18
2019-10-31,27,21,28
2019-11-01,18,8,11
2019-11-02,5,6,12
2019-11-03,18,7,12
2019-11-04,39,7,10
2019-11-05,29,10,13
2019-11-06,24,12,18
2019-11-07,18,4,7
