Date,PM10_1,NOx_1,NOx_2,PM2.5_1
2019-01-01,No data,13,No data,No data
2019-01-02,No data,24,No data,No data
2019-01-03,No data,49,No data,No data
2019-01-04,No data,20,No data,No data
2019-01-05,No data,23,No data,No data
2019-01-06,No data,16,No data,No data
2019-01-07,No data,8,No data,No data
2019-01-08,No data,19,No data,No data
2019-01-09,No data,29,No data,No data
2019-01-10,No data,20,No data,No data
2019-01-11,No data,26,No data,No data
2019-01-12,No data,6,No data,4
2019-01-13,No data,4,No data,5
2019-01-14,No data,29,No data,6
2019-01-15,No data,10,No data,6
2019-01-16,No data,10,No data,4
2019-01-17,No data,23,No data,6
2019-01-18,No data,36,No data,11
2019-01-19,No data,27,No data,22
2019-01-20,No data,28,No data,22
2019-01-21,No data,33,No data,12
2019-01-22,No data,35,No data,8
2019-01-23,No data,59,No data,9
2019-01-24,No data,95,No data,16
2019-01-25,No data,14,No data,5
2019-01-26,No data,12,No data,5
2019-01-27,No data,9,No data,3
2019-01-28,No data,19,No data,5
2019-01-29,No data,21,No data,7
2019-01-30,No data,42,No data,7
2019-01-31,No data,89,No data,14
2019-02-01,No data,35,No data,8
2019-02-02,No data,21,No data,8
2019-02-03,No data,14,No data,7
2019-02-04,No data,11,No data,5
2019-02-05,No data,33,No data,14
2019-02-06,No data,22,No data,No data
2019-02-07,No data,20,48,No data
2019-02-08,No data,7,19,No data
2019-02-09,No data,7,13,No data
2019-02-10,No data,16,36,No data
2019-02-11,No data,39,75,No data
2019-02-12,No data,15,39,6
2019-02-13,No data,11,23,8
2019-02-14,No data,34,61,17
2019-02-15,No data,40,95,27
2019-02-16,No data,15,22,10
2019-02-17,No data,9,20,17
2019-02-18,No data,10,22,7
2019-02-19,No data,14,39,6
2019-02-20,No data,10,22,6
2019-02-21,No data,14,36,7
2019-02-22,No data,22,58,20
2019-02-23,No data,24,44,36
2019-02-24,No data,36,67,29
2019-02-25,No data,47,No data,42
2019-02-26,No data,69,No data,29
2019-02-27,No data,No data,No data,42
2019-02-28,No data,No data,No data,24
2019-03-01,No data,26,68,22
2019-03-02,No data,13,28,14
2019-03-03,No data,11,17,9
2019-03-04,No data,10,22,4
2019-03-05,No data,13,32,6
2019-03-06,No data,17,44,8
2019-03-07,No data,14,27,4
2019-03-08,No data,15,45,5
2019-03-09,No data,10,17,5
2019-03-10,No data,14,23,5
2019-03-11,No data,9,22,5
2019-03-12,No data,9,19,5
2019-03-13,No data,6,13,5
2019-03-14,No data,5,16,5
2019-03-15,No data,5,16,5
2019-03-16,No data,7,17,4
2019-03-17,No data,7,11,3
2019-03-18,No data,35,56,8
2019-03-19,No data,13,43,7
2019-03-20,No data,11,31,7
2019-03-21,No data,23,44,8
2019-03-22,No data,7,23,10
2019-03-23,No data,6,23,7
2019-03-24,No data,5,13,6
2019-03-25,No data,20,28,7
2019-03-26,No data,10,27,7
2019-03-27,No data,11,29,10
2019-03-28,No data,14,45,12
2019-03-29,No data,22,42,14
2019-03-30,No data,19,33,12
2019-03-31,No data,22,42,9
2019-04-01,No data,15,41,11
2019-04-02,No data,20,31,7
2019-04-03,No data,15,32,5
2019-04-04,No data,15,28,9
2019-04-05,No data,18,33,29
2019-04-06,No data,19,18,20
2019-04-07,No data,11,8,27
2019-04-08,No data,14,10,17
2019-04-09,No data,14,11,11
2019-04-10,No data,19,39,6
2019-04-11,No data,15,44,9
2019-04-12,No data,17,32,10
2019-04-13,No data,11,22,8
2019-04-14,No data,8,14,9
2019-04-15,No data,10,24,18
2019-04-16,No data,13,25,19
2019-04-17,No data,19,16,18
2019-04-18,No data,23,36,23
2019-04-19,No data,26,57,26
2019-04-20,No data,32,71,No data
2019-04-21,No data,14,25,30
2019-04-22,No data,16,27,38
2019-04-23,No data,18,25,23
2019-04-24,No data,21,21,30
2019-04-25,No data,23,44,10
2019-04-26,No data,12,30,10
2019-04-27,No data,13,12,9
2019-04-28,No data,12,10,11
2019-04-29,No data,17,37,10
2019-04-30,No data,24,43,24
2019-05-01,No data,24,39,24
2019-05-02,No data,11,13,6
2019-05-03,No data,15,15,6
2019-05-04,No data,12,12,8
2019-05-05,No data,15,21,8
2019-05-06,No data,14,19,6
2019-05-07,No data,16,34,6
2019-05-08,No data,12,15,11
2019-05-09,No data,11,11,8
2019-05-10,No data,23,40,7
2019-05-11,No data,28,51,9
2019-05-12,No data,21,35,9
2019-05-13,No data,26,38,13
2019-05-14,No data,25,49,18
2019-05-15,No data,19,38,19
2019-05-16,No data,14,22,9
2019-05-17,No data,9,5,12
2019-05-18,No data,19,22,11
2019-05-19,No data,19,29,17
2019-05-20,No data,19,25,9
2019-05-21,No data,16,19,6
2019-05-22,No data,11,18,5
2019-05-23,No data,10,18,6
2019-05-24,No data,14,22,7
2019-05-25,No data,15,21,8
2019-05-26,No data,7,8,6
2019-05-27,No data,9,9,5
2019-05-28,No data,20,21,7
2019-05-29,No data,14,33,8
2019-05-30,No data,10,16,6
2019-05-31,No data,8,20,5
2019-06-01,No data,14,26,10
2019-06-02,No data,8,15,9
2019-06-03,No data,7,14,7
2019-06-04,No data,12,28,8
2019-06-05,No data,10,25,7
2019-06-06,No data,13,48,6
2019-06-07,No data,19,34,10
2019-06-08,No data,12,9,6
2019-06-09,No data,9,13,6
2019-06-10,No data,13,16,8
2019-06-11,No data,5,4,5
2019-06-12,No data,7,5,7
2019-06-13,No data,11,12,4
2019-06-14,No data,18,37,7
2019-06-15,No data,12,26,11
2019-06-16,No data,6,12,7
2019-06-17,No data,6,16,5
2019-06-18,No data,10,22,8
2019-06-19,No data,23,39,8
2019-06-20,No data,12,16,6
2019-06-21,No data,12,19,6
2019-06-22,No data,16,25,10
2019-06-23,No data,12,12,8
2019-06-24,No data,12,8,13
