CityName,CityCode,MSOAName,MSOACode,Value,LowerConfidenceInterval,UpperConfidenceInterval,Gender
Birmingham,J01000007,Birmingham 008,E02001834,58.7,57.1,60.3,Male
Birmingham,J01000007,Birmingham 008,E02001834,58.3,56.9,59.8,Female
Birmingham,J01000007,Birmingham 011,E02001837,51.6,50.4,52.9,Male
Birmingham,J01000007,Birmingham 011,E02001837,54.4,53.2,55.5,Female
Birmingham,J01000007,Birmingham 013,E02001839,60.8,59.1,62.5,Male
Birmingham,J01000007,Birmingham 013,E02001839,61.6,60.4,62.8,Female
Birmingham,J01000007,Birmingham 014,E02001840,52.9,51.7,54.2,Male
Birmingham,J01000007,Birmingham 014,E02001840,53.7,52.5,54.9,Female
Birmingham,J01000007,Birmingham 016,E02001842,63.2,61.7,64.6,Male
Birmingham,J01000007,Birmingham 016,E02001842,64.3,62.9,65.7,Female
Birmingham,J01000007,Birmingham 017,E02001843,61.9,60.3,63.5,Male
Birmingham,J01000007,Birmingham 017,E02001843,63.1,61.5,64.8,Female
Birmingham,J01000007,Birmingham 019,E02001845,62.3,60.7,64.0,Male
Birmingham,J01000007,Birmingham 019,E02001845,62.7,61.2,64.3,Female
Birmingham,J01000007,Birmingham 020,E02001846,55.5,54.2,56.9,Male
Birmingham,J01000007,Birmingham 020,E02001846,57.4,56.2,58.5,Female
Birmingham,J01000007,Birmingham 022,E02001848,56.9,55.2,58.6,Male
Birmingham,J01000007,Birmingham 022,E02001848,56.5,55.0,57.9,Female
Birmingham,J01000007,Birmingham 023,E02001849,56.2,54.7,57.8,Male
Birmingham,J01000007,Birmingham 023,E02001849,57.1,55.5,58.7,Female
Birmingham,J01000007,Birmingham 024,E02001850,60.2,58.7,61.6,Male
Birmingham,J01000007,Birmingham 024,E02001850,63.1,61.6,64.6,Female
Birmingham,J01000007,Birmingham 025,E02001851,58.6,57.1,60.0,Male
Birmingham,J01000007,Birmingham 025,E02001851,61.2,60.0,62.4,Female
Birmingham,J01000007,Birmingham 026,E02001852,56.3,54.6,58.1,Male
Birmingham,J01000007,Birmingham 026,E02001852,59.3,57.8,60.8,Female
Birmingham,J01000007,Birmingham 028,E02001854,58.8,57.3,60.4,Male
Birmingham,J01000007,Birmingham 028,E02001854,60.0,58.7,61.3,Female
Birmingham,J01000007,Birmingham 029,E02001855,54.5,53.3,55.7,Male
Birmingham,J01000007,Birmingham 029,E02001855,55.1,54.1,56.1,Female
Birmingham,J01000007,Birmingham 030,E02001856,59.0,57.5,60.5,Male
Birmingham,J01000007,Birmingham 030,E02001856,58.5,57.0,59.9,Female
Birmingham,J01000007,Birmingham 031,E02001857,55.5,54.3,56.6,Male
Birmingham,J01000007,Birmingham 031,E02001857,57.3,56.2,58.4,Female
Birmingham,J01000007,Birmingham 032,E02001858,59.3,58.0,60.7,Male
Birmingham,J01000007,Birmingham 032,E02001858,58.3,56.9,59.7,Female
Birmingham,J01000007,Birmingham 033,E02001859,55.1,53.6,56.6,Male
Birmingham,J01000007,Birmingham 033,E02001859,53.6,52.2,55.0,Female
Birmingham,J01000007,Birmingham 034,E02001860,56.1,54.5,57.6,Male
Birmingham,J01000007,Birmingham 034,E02001860,55.1,53.7,56.5,Female
Birmingham,J01000007,Birmingham 035,E02001861,53.9,52.4,55.4,Male
Birmingham,J01000007,Birmingham 035,E02001861,52.7,51.4,54.0,Female
Birmingham,J01000007,Birmingham 036,E02001862,55.4,54.0,56.8,Male
Birmingham,J01000007,Birmingham 036,E02001862,52.9,51.6,54.2,Female
Birmingham,J01000007,Birmingham 037,E02001863,53.2,51.7,54.7,Male
Birmingham,J01000007,Birmingham 037,E02001863,49.9,48.4,51.4,Female
Birmingham,J01000007,Birmingham 038,E02001864,53.8,52.1,55.6,Male
Birmingham,J01000007,Birmingham 038,E02001864,55.9,54.3,57.5,Female
Birmingham,J01000007,Birmingham 039,E02001865,55.2,54.0,56.5,Male
Birmingham,J01000007,Birmingham 039,E02001865,52.0,50.8,53.2,Female
Birmingham,J01000007,Birmingham 040,E02001866,51.4,50.0,52.8,Male
Birmingham,J01000007,Birmingham 040,E02001866,50.0,48.7,51.4,Female
Birmingham,J01000007,Birmingham 041,E02001867,53.0,51.4,54.5,Male
Birmingham,J01000007,Birmingham 041,E02001867,49.8,48.3,51.2,Female
Birmingham,J01000007,Birmingham 042,E02001868,61.2,59.7,62.7,Male
