CityName,CityCode,MSOAName,MSOACode,Value,LowerConfidenceInterval,UpperConfidenceInterval,Gender
Birmingham,J01000007,Birmingham 008,E02001834,79.0,76.7,81.3,Male
Birmingham,J01000007,Birmingham 008,E02001834,82.0,79.9,84.1,Female
Birmingham,J01000007,Birmingham 011,E02001837,71.8,69.9,73.6,Male
Birmingham,J01000007,Birmingham 011,E02001837,80.9,79.2,82.6,Female
Birmingham,J01000007,Birmingham 013,E02001839,76.6,74.4,78.7,Male
Birmingham,J01000007,Birmingham 013,E02001839,82.3,80.5,84.1,Female
Birmingham,J01000007,Birmingham 014,E02001840,73.5,71.6,75.4,Male
Birmingham,J01000007,Birmingham 014,E02001840,77.9,76.2,79.7,Female
Birmingham,J01000007,Birmingham 016,E02001842,79.3,77.4,81.2,Male
Birmingham,J01000007,Birmingham 016,E02001842,86.4,84.6,88.3,Female
Birmingham,J01000007,Birmingham 017,E02001843,78.8,76.7,80.8,Male
Birmingham,J01000007,Birmingham 017,E02001843,83.9,81.8,86.1,Female
Birmingham,J01000007,Birmingham 019,E02001845,77.8,75.6,79.9,Male
Birmingham,J01000007,Birmingham 019,E02001845,85.8,83.6,88.0,Female
Birmingham,J01000007,Birmingham 020,E02001846,75.8,73.9,77.7,Male
Birmingham,J01000007,Birmingham 020,E02001846,81.3,79.6,82.9,Female
Birmingham,J01000007,Birmingham 022,E02001848,74.1,71.8,76.3,Male
Birmingham,J01000007,Birmingham 022,E02001848,77.6,75.7,79.5,Female
Birmingham,J01000007,Birmingham 023,E02001849,73.6,71.5,75.7,Male
Birmingham,J01000007,Birmingham 023,E02001849,77.3,75.1,79.5,Female
Birmingham,J01000007,Birmingham 024,E02001850,78.4,76.5,80.3,Male
Birmingham,J01000007,Birmingham 024,E02001850,86.0,83.8,88.2,Female
Birmingham,J01000007,Birmingham 025,E02001851,75.8,73.9,77.8,Male
Birmingham,J01000007,Birmingham 025,E02001851,81.8,80.3,83.3,Female
Birmingham,J01000007,Birmingham 026,E02001852,74.6,72.2,77.0,Male
Birmingham,J01000007,Birmingham 026,E02001852,81.7,79.5,83.8,Female
Birmingham,J01000007,Birmingham 028,E02001854,77.0,74.9,79.1,Male
Birmingham,J01000007,Birmingham 028,E02001854,81.4,79.6,83.2,Female
Birmingham,J01000007,Birmingham 029,E02001855,75.0,73.3,76.8,Male
Birmingham,J01000007,Birmingham 029,E02001855,80.0,78.6,81.4,Female
Birmingham,J01000007,Birmingham 030,E02001856,79.3,77.2,81.3,Male
Birmingham,J01000007,Birmingham 030,E02001856,80.8,78.6,82.9,Female
Birmingham,J01000007,Birmingham 031,E02001857,75.5,73.9,77.1,Male
Birmingham,J01000007,Birmingham 031,E02001857,82.1,80.6,83.6,Female
Birmingham,J01000007,Birmingham 032,E02001858,78.8,76.8,80.7,Male
Birmingham,J01000007,Birmingham 032,E02001858,83.4,81.5,85.3,Female
Birmingham,J01000007,Birmingham 033,E02001859,76.2,74.1,78.3,Male
Birmingham,J01000007,Birmingham 033,E02001859,83.2,80.9,85.5,Female
Birmingham,J01000007,Birmingham 034,E02001860,76.7,74.3,79.1,Male
Birmingham,J01000007,Birmingham 034,E02001860,83.8,81.7,85.8,Female
Birmingham,J01000007,Birmingham 035,E02001861,76.7,74.4,79.0,Male
Birmingham,J01000007,Birmingham 035,E02001861,84.8,82.9,86.8,Female
Birmingham,J01000007,Birmingham 036,E02001862,74.6,72.6,76.6,Male
Birmingham,J01000007,Birmingham 036,E02001862,83.0,81.0,85.0,Female
Birmingham,J01000007,Birmingham 037,E02001863,79.5,76.9,82.0,Male
Birmingham,J01000007,Birmingham 037,E02001863,82.7,80.2,85.2,Female
Birmingham,J01000007,Birmingham 038,E02001864,73.9,71.5,76.2,Male
Birmingham,J01000007,Birmingham 038,E02001864,82.0,79.4,84.6,Female
Birmingham,J01000007,Birmingham 039,E02001865,76.7,74.7,78.6,Male
Birmingham,J01000007,Birmingham 039,E02001865,83.7,81.7,85.6,Female
Birmingham,J01000007,Birmingham 040,E02001866,74.1,71.6,76.5,Male
Birmingham,J01000007,Birmingham 040,E02001866,82.5,80.0,85.0,Female
Birmingham,J01000007,Birmingham 041,E02001867,75.6,73.2,78.1,Male
Birmingham,J01000007,Birmingham 041,E02001867,81.4,78.7,84.0,Female
Birmingham,J01000007,Birmingham 042,E02001868,78.8,76.9,80.7,Male
Birmingham,J01000007,Birmingham 042,E02001868,83.9,82.3,85.6,Female
Birmingham,J01000007,Birmingham 043,E02001869,70.6,68.4,72.8,Male
Birmingham,J01000007,Birmingham 043,E02001869,79.6,77.5,81.7,Female
Birmingham,J01000007,Birmingham 044,E02001870,75.3,73.6,76.9,Male
Birmingham,J01000007,Birmingham 044,E02001870,81.5,79.8,83.1,Female
Birmingham,J01000007,Birmingham 045,E02001871,75.0,73.0,76.9,Male
Birmingham,J01000007,Birmingham 045,E02001871,80.7,78.7,82.7,Female
Birmingham,J01000007,Birmingham 046,E02001872,74.2,71.9,76.4,Male
Birmingham,J01000007,Birmingham 046,E02001872,80.0,78.0,82.1,Female
Birmingham,J01000007,Birmingham 047,E02001873,74.5,72.4,76.6,Male
Birmingham,J01000007,Birmingham 047,E02001873,81.5,79.6,83.4,Female
Birmingham,J01000007,Birmingham 048,E02001874,76.0,73.7,78.3,Male
Birmingham,J01000007,Birmingham 048,E02001874,79.1,76.9,81.2,Female
Birmingham,J01000007,Birmingham 049,E02001875,75.9,73.6,78.2,Male
Birmingham,J01000007,Birmingham 049,E02001875,84.0,80.8,87.3,Female
Birmingham,J01000007,Birmingham 050,E02001876,73.7,71.2,76.1,Male
Birmingham,J01000007,Birmingham 050,E02001876,84.6,81.8,87.4,Female
Birmingham,J01000007,Birmingham 051,E02001877,76.3,74.1,78.6,Male
Birmingham,J01000007,Birmingham 051,E02001877,83.7,81.1,86.2,Female
Birmingham,J01000007,Birmingham 052,E02001878,76.6,74.1,79.2,Male
Birmingham,J01000007,Birmingham 052,E02001878,83.4,80.8,85.9,Female
Birmingham,J01000007,Birmingham 053,E02001879,75.0,73.2,76.8,Male
Birmingham,J01000007,Birmingham 053,E02001879,79.1,77.3,80.8,Female
Birmingham,J01000007,Birmingham 054,E02001880,78.6,76.7,80.6,Male
Birmingham,J01000007,Birmingham 054,E02001880,82.1,80.2,84.1,Female
Birmingham,J01000007,Birmingham 055,E02001881,75.9,73.7,78.0,Male
Birmingham,J01000007,Birmingham 055,E02001881,79.2,77.1,81.2,Female
Birmingham,J01000007,Birmingham 056,E02001882,77.0,75.3,78.8,Male
Birmingham,J01000007,Birmingham 056,E02001882,80.1,78.2,81.9,Female
Birmingham,J01000007,Birmingham 057,E02001883,75.5,73.6,77.4,Male
Birmingham,J01000007,Birmingham 057,E02001883,79.6,77.7,81.6,Female
Birmingham,J01000007,Birmingham 058,E02001884,77.6,75.0,80.1,Male
Birmingham,J01000007,Birmingham 058,E02001884,83.4,80.9,85.8,Female
Birmingham,J01000007,Birmingham 060,E02001886,76.0,73.9,78.1,Male
Birmingham,J01000007,Birmingham 060,E02001886,82.0,79.9,84.2,Female
Birmingham,J01000007,Birmingham 062,E02001888,73.2,71.0,75.4,Male
Birmingham,J01000007,Birmingham 062,E02001888,78.3,76.3,80.2,Female
Birmingham,J01000007,Birmingham 063,E02001889,75.9,73.9,77.8,Male
Birmingham,J01000007,Birmingham 063,E02001889,78.2,76.4,79.9,Female
Birmingham,J01000007,Birmingham 064,E02001890,78.3,76.5,80.2,Male
Birmingham,J01000007,Birmingham 064,E02001890,83.3,81.7,84.9,Female
Birmingham,J01000007,Birmingham 066,E02001892,73.9,72.0,75.9,Male
Birmingham,J01000007,Birmingham 066,E02001892,79.3,77.6,81.0,Female
Birmingham,J01000007,Birmingham 067,E02001893,79.0,77.3,80.8,Male
Birmingham,J01000007,Birmingham 067,E02001893,80.3,78.6,82.1,Female
Birmingham,J01000007,Birmingham 069,E02001895,74.0,72.3,75.8,Male
Birmingham,J01000007,Birmingham 069,E02001895,78.3,76.8,79.8,Female
Birmingham,J01000007,Birmingham 070,E02001896,77.1,74.7,79.5,Male
Birmingham,J01000007,Birmingham 070,E02001896,82.9,80.7,85.1,Female
Birmingham,J01000007,Birmingham 071,E02001897,74.1,71.8,76.3,Male
Birmingham,J01000007,Birmingham 071,E02001897,79.2,76.9,81.5,Female
Birmingham,J01000007,Birmingham 072,E02001898,79.2,77.1,81.2,Male
Birmingham,J01000007,Birmingham 072,E02001898,84.2,82.1,86.3,Female
Birmingham,J01000007,Birmingham 073,E02001899,82.3,80.3,84.3,Male
Birmingham,J01000007,Birmingham 073,E02001899,86.6,84.9,88.4,Female
Birmingham,J01000007,Birmingham 074,E02001900,77.3,75.1,79.5,Male
Birmingham,J01000007,Birmingham 074,E02001900,83.6,81.5,85.6,Female
