CityName,CityCode,MSOAName,MSOACode,Date,ActualCost,PerCitizenCost
Birmingham,J01000007,Birmingham 008,E02001834,2019-01,26886.843019999997,4.479647287570809
Birmingham,J01000007,Birmingham 008,E02001834,2019-02,26530.195840000004,4.42022589803399
Birmingham,J01000007,Birmingham 008,E02001834,2019-03,27986.798719999995,4.662912149283572
Birmingham,J01000007,Birmingham 008,E02001834,2019-04,26729.820559999996,4.4534855981339545
Birmingham,J01000007,Birmingham 008,E02001834,2019-05,31027.20377,5.169477469176941
Birmingham,J01000007,Birmingham 008,E02001834,2019-06,25889.182240000002,4.313425898033989
Birmingham,J01000007,Birmingham 008,E02001834,2019-07,27598.285980000004,4.598181602799068
Birmingham,J01000007,Birmingham 008,E02001834,2019-08,29011.62594,4.8336597700766415
Birmingham,J01000007,Birmingham 008,E02001834,2019-09,29207.9032,4.866361746084639
Birmingham,J01000007,Birmingham 008,E02001834,2019-10,30069.048370000004,5.009838115628124
Birmingham,J01000007,Birmingham 008,E02001834,2019-11,30722.22905,5.118665286571143
Birmingham,J01000007,Birmingham 008,E02001834,2019-12,30134.128150000004,5.020681131289571
Birmingham,J01000007,Birmingham 008,E02001834,2020-01,30904.250050000002,5.148992010996335
Birmingham,J01000007,Birmingham 008,E02001834,2020-02,27632.25739,4.603841617794068
Birmingham,J01000007,Birmingham 008,E02001834,2020-03,35185.082149999995,5.862226282905697
Birmingham,J01000007,Birmingham 008,E02001834,2020-04,30553.45704,5.090545991336222
Birmingham,J01000007,Birmingham 008,E02001834,2020-05,28214.278409999995,4.700812797400865
Birmingham,J01000007,Birmingham 008,E02001834,2020-06,29132.561490000004,4.853808978673776
Birmingham,J01000007,Birmingham 008,E02001834,2020-07,33440.021459999996,5.571479750083305
Birmingham,J01000007,Birmingham 008,E02001834,2020-08,29994.86309,4.9974780223258914
Birmingham,J01000007,Birmingham 008,E02001834,2020-09,31538.614090000006,5.254684120293237
Birmingham,J01000007,Birmingham 008,E02001834,2020-10,29984.14434,4.99569215928024
Birmingham,J01000007,Birmingham 008,E02001834,2020-11,29452.368760000005,4.90709242919027
Birmingham,J01000007,Birmingham 008,E02001834,2020-12,31387.06887,5.229435
Birmingham,J01000007,Birmingham 008,E02001834,2021-01,29518.721049999996,4.918147459180273
Birmingham,J01000007,Birmingham 008,E02001834,2021-02,27898.46406,4.648194611796067
Birmingham,J01000007,Birmingham 008,E02001834,2021-03,31100.633870000005,5.181711741086305
Birmingham,J01000007,Birmingham 008,E02001834,2021-04,32989.02256,5.496338313895368
Birmingham,J01000007,Birmingham 008,E02001834,2021-05,24216.45011,4.034730108297235
Birmingham,J01000007,Birmingham 008,E02001834,2021-06,30629.04853,5.103140374875042
Birmingham,J01000007,Birmingham 008,E02001834,2021-07,30149.365489999996,5.023219841719427
Birmingham,J01000007,Birmingham 008,E02001834,2021-08,32424.66372,5.402309850049983
Birmingham,J01000007,Birmingham 008,E02001834,2021-09,31153.68118,5.19055001332889
Birmingham,J01000007,Birmingham 008,E02001834,2021-10,32757.35166,5.4577393635454845
Birmingham,J01000007,Birmingham 008,E02001834,2021-11,32941.74175,5.488460804731757
Birmingham,J01000007,Birmingham 008,E02001834,2021-12,34329.32432,5.719647504165279
Birmingham,J01000007,Birmingham 008,E02001834,2022-01,30102.3746,5.015390636454515
Birmingham,J01000007,Birmingham 008,E02001834,2022-02,32103.232850000004,5.348755889703432
Birmingham,J01000007,Birmingham 008,E02001834,2022-03,31572.581749999998,5.260343510496501
Birmingham,J01000007,Birmingham 008,E02001834,2022-04,31628.827810000003,5.26971473008997
Birmingham,J01000007,Birmingham 008,E02001834,2022-05,34204.14333,5.698790958013995
Birmingham,J01000007,Birmingham 008,E02001834,2022-06,31744.343220000002,5.288960883038987
Birmingham,J01000007,Birmingham 008,E02001834,2022-07,32308.423239999993,5.382942892369209
Birmingham,J01000007,Birmingham 008,E02001834,2022-08,34627.16877,5.769271704431856
Birmingham,J01000007,Birmingham 011,E02001837,2019-01,5824.322280000001,0.5639897627578194
Birmingham,J01000007,Birmingham 011,E02001837,2019-02,5047.09182,0.4887277834801975
