CityName,CityCode,MSOAName,MSOACode,Date,ActualCost,PerCitizenCost
Birmingham,J01000007,Birmingham 008,E02001834,2019-01,3869.30289,0.644668925358214
Birmingham,J01000007,Birmingham 008,E02001834,2019-02,3362.5601699999997,0.5602399483505498
Birmingham,J01000007,Birmingham 008,E02001834,2019-03,3856.6024,0.6425528823725425
Birmingham,J01000007,Birmingham 008,E02001834,2019-04,3921.4434900000006,0.6533561296234589
Birmingham,J01000007,Birmingham 008,E02001834,2019-05,3605.5216399999995,0.6007200333222258
Birmingham,J01000007,Birmingham 008,E02001834,2019-06,3678.76198,0.6129226891036321
Birmingham,J01000007,Birmingham 008,E02001834,2019-07,3190.6632199999995,0.5316000033322225
Birmingham,J01000007,Birmingham 008,E02001834,2019-08,4424.02149,0.7370912179273575
Birmingham,J01000007,Birmingham 008,E02001834,2019-09,4037.9748600000003,0.6727715528157281
Birmingham,J01000007,Birmingham 008,E02001834,2019-10,4325.06764,0.7206044051982673
Birmingham,J01000007,Birmingham 008,E02001834,2019-11,4229.26446,0.7046425291569477
Birmingham,J01000007,Birmingham 008,E02001834,2019-12,3879.1276900000003,0.6463058463845386
Birmingham,J01000007,Birmingham 008,E02001834,2020-01,4305.139980000001,0.7172842352549151
Birmingham,J01000007,Birmingham 008,E02001834,2020-02,3407.01568,0.5676467310896368
Birmingham,J01000007,Birmingham 008,E02001834,2020-03,5834.251809999999,0.9720512845718092
Birmingham,J01000007,Birmingham 008,E02001834,2020-04,3973.55782,0.6620389570143286
Birmingham,J01000007,Birmingham 008,E02001834,2020-05,4298.84018,0.7162346184605132
Birmingham,J01000007,Birmingham 008,E02001834,2020-06,4189.68031,0.6980473692102632
Birmingham,J01000007,Birmingham 008,E02001834,2020-07,4798.790370000001,0.7995318843718762
Birmingham,J01000007,Birmingham 008,E02001834,2020-08,4219.14883,0.7029571526157947
Birmingham,J01000007,Birmingham 008,E02001834,2020-09,4830.106750000001,0.8047495418193936
Birmingham,J01000007,Birmingham 008,E02001834,2020-10,4985.806680000001,0.8306908830389871
Birmingham,J01000007,Birmingham 008,E02001834,2020-11,4633.173999999999,0.7719383538820391
Birmingham,J01000007,Birmingham 008,E02001834,2020-12,4641.41103,0.7733107347550817
Birmingham,J01000007,Birmingham 008,E02001834,2021-01,4611.60959,0.7683454831722759
Birmingham,J01000007,Birmingham 008,E02001834,2021-02,4317.78306,0.7193907130956347
Birmingham,J01000007,Birmingham 008,E02001834,2021-03,4946.33611,0.8241146467844053
Birmingham,J01000007,Birmingham 008,E02001834,2021-04,4878.964970000001,0.8128898650449852
Birmingham,J01000007,Birmingham 008,E02001834,2021-05,4275.327499999999,0.7123171442852382
Birmingham,J01000007,Birmingham 008,E02001834,2021-06,4825.46293,0.8039758297234255
Birmingham,J01000007,Birmingham 008,E02001834,2021-07,4463.03508,0.743591316227924
Birmingham,J01000007,Birmingham 008,E02001834,2021-08,4693.31426,0.7819583905364879
Birmingham,J01000007,Birmingham 008,E02001834,2021-09,4541.19531,0.7566136804398534
Birmingham,J01000007,Birmingham 008,E02001834,2021-10,4166.69704,0.6942181006331223
Birmingham,J01000007,Birmingham 008,E02001834,2021-11,4632.97967,0.7719059763412195
Birmingham,J01000007,Birmingham 008,E02001834,2021-12,4590.18061,0.7647751766077975
Birmingham,J01000007,Birmingham 008,E02001834,2022-01,3766.7825399999992,0.6275878940353214
Birmingham,J01000007,Birmingham 008,E02001834,2022-02,3495.6576200000004,0.5824154648450517
Birmingham,J01000007,Birmingham 008,E02001834,2022-03,4384.07834,0.7304362445851383
Birmingham,J01000007,Birmingham 008,E02001834,2022-04,3893.96144,0.6487773142285905
Birmingham,J01000007,Birmingham 008,E02001834,2022-05,4231.6131700000005,0.7050338503832057
Birmingham,J01000007,Birmingham 008,E02001834,2022-06,3548.64149,0.5912431672775741
Birmingham,J01000007,Birmingham 008,E02001834,2022-07,3715.3625300000003,0.6190207480839721
Birmingham,J01000007,Birmingham 008,E02001834,2022-08,4654.18858,0.7754396167944019
Birmingham,J01000007,Birmingham 011,E02001837,2019-01,664.58375,0.06435399922533165
Birmingham,J01000007,Birmingham 011,E02001837,2019-02,383.96558999999996,0.03718074852328846
Birmingham,J01000007,Birmingham 011,E02001837,2019-03,680.44611,0.06589000774668345
Birmingham,J01000007,Birmingham 011,E02001837,2019-04,416.96536000000003,0.04037623317517188
Birmingham,J01000007,Birmingham 011,E02001837,2019-05,684.88952,0.06632027888060424
Birmingham,J01000007,Birmingham 011,E02001837,2019-06,408.83467,0.039588909654304255
Birmingham,J01000007,Birmingham 011,E02001837,2019-07,431.94363,0.041826632129369615
Birmingham,J01000007,Birmingham 011,E02001837,2019-08,514.9951900000001,0.049868808947419394
Birmingham,J01000007,Birmingham 011,E02001837,2019-09,1002.3806,0.09706406507214099
Birmingham,J01000007,Birmingham 011,E02001837,2019-10,543.5496500000002,0.052633838481650055
Birmingham,J01000007,Birmingham 011,E02001837,2019-11,718.6491900000001,0.06958934734191925
Birmingham,J01000007,Birmingham 011,E02001837,2019-12,532.8639099999999,0.05159910041638423
Birmingham,J01000007,Birmingham 011,E02001837,2020-01,834.5060199999999,0.08080817468771181
Birmingham,J01000007,Birmingham 011,E02001837,2020-02,622.5110600000002,0.06027995158322844
Birmingham,J01000007,Birmingham 011,E02001837,2020-03,1096.09923,0.10613917207320617
Birmingham,J01000007,Birmingham 011,E02001837,2020-04,593.5090100000001,0.057471580323424046
Birmingham,J01000007,Birmingham 011,E02001837,2020-05,911.09245,0.08822431006100513
Birmingham,J01000007,Birmingham 011,E02001837,2020-06,725.5096799999999,0.07025367289629127
Birmingham,J01000007,Birmingham 011,E02001837,2020-07,704.1343899999999,0.0681838278299603
Birmingham,J01000007,Birmingham 011,E02001837,2020-08,710.2289300000001,0.06877398373196476
Birmingham,J01000007,Birmingham 011,E02001837,2020-09,671.4371799999999,0.06501764113488911
Birmingham,J01000007,Birmingham 011,E02001837,2020-10,852.73444,0.08257329718214389
Birmingham,J01000007,Birmingham 011,E02001837,2020-11,814.76774,0.07889684709983538
Birmingham,J01000007,Birmingham 011,E02001837,2020-12,741.44753,0.07179699138181467
Birmingham,J01000007,Birmingham 011,E02001837,2021-01,985.3106700000001,0.09541112326910042
Birmingham,J01000007,Birmingham 011,E02001837,2021-02,724.29056,0.07013562118717924
Birmingham,J01000007,Birmingham 011,E02001837,2021-03,1025.14718,0.0992686336787063
Birmingham,J01000007,Birmingham 011,E02001837,2021-04,1017.4334200000001,0.09852168296697977
Birmingham,J01000007,Birmingham 011,E02001837,2021-05,764.79991,0.074058285077951
Birmingham,J01000007,Birmingham 011,E02001837,2021-06,807.4228400000001,0.07818561440883122
Birmingham,J01000007,Birmingham 011,E02001837,2021-07,927.5687999999998,0.08981977340950903
Birmingham,J01000007,Birmingham 011,E02001837,2021-08,761.0560700000001,0.07369575578580422
Birmingham,J01000007,Birmingham 011,E02001837,2021-09,970.64434,0.09399093057034957
Birmingham,J01000007,Birmingham 011,E02001837,2021-10,861.0797600000001,0.08338140408637552
Birmingham,J01000007,Birmingham 011,E02001837,2021-11,919.46938,0.0890354778735354
Birmingham,J01000007,Birmingham 011,E02001837,2021-12,788.92534,0.07639443594461122
Birmingham,J01000007,Birmingham 011,E02001837,2022-01,559.8592,0.05421314999515832
Birmingham,J01000007,Birmingham 011,E02001837,2022-02,485.08979999999997,0.04697296407475549
Birmingham,J01000007,Birmingham 011,E02001837,2022-03,826.1857999999999,0.08000249830541298
Birmingham,J01000007,Birmingham 011,E02001837,2022-04,499.44398,0.0483629301830154
Birmingham,J01000007,Birmingham 011,E02001837,2022-05,1064.20768,0.10305100029050063
Birmingham,J01000007,Birmingham 011,E02001837,2022-06,538.88427,0.05218207320615861
Birmingham,J01000007,Birmingham 011,E02001837,2022-07,770.2240200000001,0.07458352086762855
Birmingham,J01000007,Birmingham 011,E02001837,2022-08,511.95535,0.049574450469642685
Birmingham,J01000007,Birmingham 013,E02001839,2019-01,2967.2072000000003,0.46507949843260193
Birmingham,J01000007,Birmingham 013,E02001839,2019-02,3259.3704999999995,0.510873119122257
Birmingham,J01000007,Birmingham 013,E02001839,2019-03,3044.1461500000005,0.4771388949843261
Birmingham,J01000007,Birmingham 013,E02001839,2019-04,2516.23166,0.39439367711598744
Birmingham,J01000007,Birmingham 013,E02001839,2019-05,4178.98484,0.6550132978056427
Birmingham,J01000007,Birmingham 013,E02001839,2019-06,2578.82541,0.4042046097178683
Birmingham,J01000007,Birmingham 013,E02001839,2019-07,3350.92406,0.5252232068965517
Birmingham,J01000007,Birmingham 013,E02001839,2019-08,4297.858180000001,0.6736454827586209
Birmingham,J01000007,Birmingham 013,E02001839,2019-09,3345.6781400000004,0.5244009623824452
Birmingham,J01000007,Birmingham 013,E02001839,2019-10,3493.30804,0.5475404451410658
Birmingham,J01000007,Birmingham 013,E02001839,2019-11,4062.04114,0.6366835642633228
Birmingham,J01000007,Birmingham 013,E02001839,2019-12,3897.62516,0.6109130344827586
Birmingham,J01000007,Birmingham 013,E02001839,2020-01,3374.5545700000002,0.5289270485893417
Birmingham,J01000007,Birmingham 013,E02001839,2020-02,3923.25466,0.614930197492163
Birmingham,J01000007,Birmingham 013,E02001839,2020-03,3923.5290100000007,0.6149731990595613
Birmingham,J01000007,Birmingham 013,E02001839,2020-04,3914.4793000000004,0.613554749216301
Birmingham,J01000007,Birmingham 013,E02001839,2020-05,3369.3396,0.5281096551724137
Birmingham,J01000007,Birmingham 013,E02001839,2020-06,4250.449769999999,0.6662146974921629
